MID_WU_C_1_IN_#001	Ehilà!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Avete riposato bene, Drago Divino?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Fantastico.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Il tempo oggi è perfetto.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Non sprecatelo dormendo, quindi.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Diamo una bella svegliata ai muscoli!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buongiorno!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Coraggio, sollevate le palpebre.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Facciamo in fretta, Drago Divino.\nHo parecchio da fare.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Bene, siete svegli\x0E\x0A\x00\x08\x02o\x02a. Abbiamo finito qui, allora?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Se non vi serve altro, andrei a fare una corsetta.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Dal momento che devo aspettare...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	inizierò i miei esercizi.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Iah! Ngh! Ugh!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Ehi!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Non vi ho visto alzarvi.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	È una bella giornata, vero?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Sono qui per svegliarvi come si deve.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Vi siete svegliat\x0E\x0A\x00\x08\x02o\x02a in fretta.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Forse avete il sonno leggero, Drago Divino?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Qual è il modo migliore di procedere...?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Uno scossone? Mmh...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Sarebbe maleducato. Ho trovato, darò\nuno scossone all'altare!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Come non detto!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Perché avete un letto tanto pesante?!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Dovrò allenarmi di più se voglio spostarlo.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Uff! Cento giri di corsa del Somniel fatti!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Vi siete appena svegliat\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Anche voi volete venire a correre?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Riuscirei a reggere ancora qualche giro.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Sapete...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Adesso correre mi piace ancora di più.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Ho abbandonato del tutto i pensieri negativi.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Buongiorno.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Vi sentite un po' intontit\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Ho io la soluzione: una bella corsetta!\nChe ne pensate?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	D'accordo, proviamo in questo modo...\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Piano piano.\x0E\x04\x00\x00
