MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nLa nostra imbarcazione è ormeggiata qui.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie per averci scortato.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nMauvier! È tutto pronto, come mi avevi chiesto!\nPuoi iniziare a tessere le mie lodi... Ehi, aspetta\nun po'...\x0E\x04\x02\x00
MID_OP1_#004	Cosa ci fa qui il Drago Divino?!\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nMarni?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06マロン\nCosa vuoi?! Non abbiamo altri anelli!\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06モーヴ\nDeterminate circostanze ci obbligano a viaggiare\ninsieme verso il Lythos.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06マロン\nEh?!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06モーヴ\nDrago Divino. Dopo che io e Marni abbiamo\nperso gli anelli, Zephia ci ha inflitto una\npunizione sproporzionata.\x0E\x04\x02\x00
MID_OP1_#010	Vi do la mia parola, non ho intenzione di tradirvi\nquando saremo al largo. Vi porterò sani e\nsalvi in Lythos.\x0E\x04\x02\x00
MID_OP1_#011	Mi accordate la vostra fiducia?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nLa mia risposta è sì. Portaci in Lythos.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06マロン\nCosa?! Perché mai vorresti aiutarli?!\nNon sono nostri amici. Sono nemici.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06モーヴ\nIl Drago Divino deve vedere lady Veyle.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nNon abbiamo motivo di affrontarci. A meno che\ntu non voglia creare problemi.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06マロン\nMi sembra chiaro che sta intimandomi di\nsmetterla con le minacce. Mauvier!\nChe succede?!\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06モーヴ\nTi spiegherò i dettagli a bordo. Se non ti basta,\nallora puoi rimanere qui.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06マロン\nEhi... come?!\nVa bene, va bene. D'accordo.\x0E\x04\x02\x00
MID_OP1_#019	Una tregua temporanea finché non\navrò raggiunto Zephia e gli altri in Lythos.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x08\x06モーヴ\nCosì sia. Andiamo, Drago Divino.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nBene.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06マロン\x023\n\x0E\x03\x02\x08\x06マロン\nSei \x0E\x0A\x00\x0C\x04il\x04la figli\x0E\x0A\x00\x08\x02o\x02a di lord Sombron?! Come?!\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nSì...\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06マロン\nQuindi significa... che sei \x0E\x0A\x00.\x16il fratello\x14la sorella che lady\nVeyle ha cercato per tutto questo tempo?!\x0E\x04\x02\x00
MID_OP2_#004	Ed è per questo che siamo diretti in Lythos...\nUn momento. Griss lo sa?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nÈ stato lui a dirmelo.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06モーヴ\nGriss ha cercato lo scontro al castello di Elusia\ne ha persino sacrificato un anello per verificare\nl'informazione.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x08\x06マロン\nCooome?! Nessuno mi aveva detto che era\nquesto il piano!\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nPerché Sombron e Veyle stanno andando\nin Lythos?\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06モーヴ\nPer il Gradlon, la terra del Drago Maligno\nsommersa negli abissi. Lui vuole farla\nriemergere.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nFar risorgere quella terra maledetta?! È terribile.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nNe sai qualcosa, Vander?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0C\nヴァンドレ\nIl Gradlon sprofondò negli abissi mille anni fa.\x0E\x04\x02\x00
MID_OP2_#013	Era proprio la terra di Sombron.\x0E\x04\x02\x00
MID_OP2_#014	Un luogo malefico, tanto malefico quanto\nè sacro il Lythos.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x08\x06モーヴ\nPer far riemergere il Gradlon, Sombron deve\ndistruggere la scheggia del Drago Divino\nin Lythos.\x0E\x04\x02\x00
MID_OP2_#016	È quella scheggia che tiene il Gradlon ancorato\nsotto le acque. Se lord Sombron la trovasse...\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nStai dicendo che il più grande desiderio di\nSombron è... far risorgere il Gradlon?\x0E\x04\x00\x00
