MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nChe carina questa canotta.\nOooh, e che classe la gonna rossa!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOh, no. Vendono anche accessori?\nAddio soldi. È stato un piacere.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nNon dirlo a me! Ogni volta che vengo qui\nmi porterei a casa tutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nPrincipessa Timerra! Cosa fate qui?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nFaccio acquisti. Perché? C'è qualcosa di strano\nper caso?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nNo, no! È solo che non me lo aspettavo da\nuna persona del vostro calibro.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nMi piace fare acquisti da sola. In incognito.\nAlmeno così posso provarmi addosso i vestiti.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nMa è fantastico! Quasi come se foste\nuna persona qualsiasi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nAhah! Beh, grazie!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nCerto che hai stile, Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nL'abbinamento di colori è elegante, ma non\nbanale. E i fiocchi danno un tocco in più.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nLa gonna, poi, non ne parliamo!\nÈ proprio degna di te.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nDite davvero?! Mi sento onorata da tante\nattenzioni!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nHo lavorato molto a questa mise. Non è stato\nfacile metterla insieme.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nCapisco perfettamente. Non è facile trovare\nil giusto equilibrio tra aspetto e praticità.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nSante parole! Voglio qualcosa che sia comodo,\nma anche carino. È chiedere troppo, forse?!\x0E\x04\x00\x00
