MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Hortensia, scusate se vi disturbo...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrincipe Alcryst? Che c'è? Di solito non sei\ndi molte parole.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nÈ che stavo, uhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nNo, niente, non importa.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nEh, no! Non pensare di fuggire sul più bello!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nSputa il rospo, dai!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon ti sento. Parla più forte.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nIo... uh...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nVi prego, insegnatemi ad avere più fiducia in\nme stesso!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nEhi! Adesso hai urlato anche troppo!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nAbbassa la voce e spiegati meglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nMostrate una tale sicurezza in voi, principessa\nHortensia. Ne sono quasi incantato.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nIo non ho molta fiducia in me stesso... speravo\nche poteste insegnarmi a essere come voi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nTutto chiaro. Vuoi imparare le mie\ntecniche segrete.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nPeccato che non te le insegnerò!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nSe non fossi il principe di Brodia, potrei\npensarci su. Ma a te proprio no, assolutamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nMa certo. Ho capito...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nUn momento... Cosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nLa Brodia ha invaso l'Elusia fin troppe volte.\nAvete tutto il diritto di rifiutarmi un favore.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nE capisco che non abbia senso per voi perdere\ntempo con uno come me.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nSono stato troppo presuntuoso... Che\nvergogna... Vi lascio in pace ora.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nFermo un attimo! Mi stai mettendo in bocca\nparole che non ho detto!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nVi prego di scusarmi. E dimenticate cosa vi\nho chiesto.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nスタルーク\nNon vi importunerò più con le mie lamentele.\nAvete la mia parola.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nMa che... Ehi! Principe Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nPensavo si sarebbe innervosito e avrebbe\nrisposto per le rime. Ma a quanto pare la\nsituazione è ben peggiore.\x0E\x04\x00\x00
MID_RELIANCE_C_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nMi toccherà trovare un altro approccio,\nla prossima volta che lo vedo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPrincipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nGuarda che lo so che mi senti!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nAaah! Principessa Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nParlare con me servirebbe solo a buttarvi giù di\nmorale.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nCome vedo sprizzi allegria da tutti i pori.\nMa è proprio quello di cui voglio parlarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nAscoltami bene. Ti aiuterò a trovare la giusta\nfiducia in te stesso, proprio come mi hai chiesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nDavvero?! Oh, grazie, grazie!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nMa come mai avete cambiato idea? Sembravate\ncosì contraria...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa quello era uno scherzo. Forse ho esagerato,\nscusa.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon amo la Brodia, è vero, ma tu sei mio amico.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nE se un amico è nei guai, va aiutato. Semplice.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa cosa sono quelle lacrime?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nIn realtà sei così carino quando ti commuovi...\nComunque, vogliamo cominciare?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nN-No, non avvicinatevi. Non guardatemi così...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nMh?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nE adesso cosa c'è?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon vuoi più il mio aiuto, tutto a un tratto?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nAvete detto che siamo amici e che volete\naiutarmi...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nSiete una persona stupenda, senza ombra di\ndubbio.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nMa più siete gentile, più sprofondo nella\ndisperazione...\x0E\x04\x00\x00
