MID_WU_C_1_IN_#001	Che sorpresa scoprire
MID_WU_C_1_IN_#002	che esiste il compito di svegliare\nil Drago Divino.
MID_WU_C_1_SOON_#001	Se impiegassi meno tempo a svegliarti,
MID_WU_C_1_SOON_#002	faresti risparmiare tempo ai tuoi alleati.
MID_WU_C_1_SOON_#003	Pazienza.
MID_WU_C_1_SOON_#004	Buongiorno.
MID_WU_C_1_WAKEUP_#001	Dormi ancora, vedo.
MID_WU_C_1_WAKEUP_#002	Poveri noi, così non va.
MID_WU_C_1_WAKEUP_#003	U\x0E\x0A\x00\x0A\x02n\x04na comandante che dorme troppo
MID_WU_C_1_WAKEUP_#004	potrebbe dare problemi ai sottoposti.
MID_WU_C_1_HELLO_#001	Finalmente ti sei svegliat\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_C_1_HELLO_#002	Molto bene.
MID_WU_C_1_HELLO_#003	E ora, fuori dal letto.
MID_WU_C_1_HELLO_#004	Non vorrei che ripiombassi a dormire.
MID_WU_C_2_IN_#001	È molto più difficile che mettere\na dormire gli emblemi...
MID_WU_C_2_SOON_#001	Per fortuna hai fatto in fretta, grazie.
MID_WU_C_2_SOON_#002	E ora che ho fatto la mia parte,\ntolgo il disturbo.
MID_WU_C_2_WAKEUP_#001	Dorme della grossa.
MID_WU_C_2_WAKEUP_#002	A volte penso che dormiresti per sempre
MID_WU_C_2_WAKEUP_#003	se ti lasciassimo stare.
MID_WU_C_2_WAKEUP_#004	Ora so come si sarà sentito Rafal...
MID_WU_C_2_HELLO_#001	Buongiorno.
MID_WU_C_2_HELLO_#002	Hai dormito più del dovuto,
MID_WU_C_2_HELLO_#003	ma c'è ancora tempo.
MID_WU_C_2_HELLO_#004	Però è meglio non indugiare.
MID_WU_B_1_IN_#001	È ora di alzarsi.
MID_WU_B_1_IN_#002	Sei viv\x0E\x0A\x00\x08\x02o\x02a?
MID_WU_B_1_SOON_#001	Ti svegli abbastanza facilmente.
MID_WU_B_1_SOON_#002	Forse chiedi il nostro aiuto\nperché ti senti sol\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_B_1_WAKEUP_#001	La ferita che ti sei fatt\x0E\x0A\x00\x08\x02o\x02a per\nproteggermi è guarita.
MID_WU_B_1_WAKEUP_#002	Ma ne hai subite altre, nel mentre.
MID_WU_B_1_WAKEUP_#003	Sono cose che capitano.
MID_WU_B_1_WAKEUP_#004	Eppure...
MID_WU_B_1_HELLO_#001	Ah, sei svegli\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_B_1_HELLO_#002	Qualsiasi battaglia ti aspetti oggi
MID_WU_B_1_HELLO_#003	spero che baderai a te stess\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_B_1_HELLO_#004	Me lo hai promesso.
MID_WU_B_2_IN_#001	Si direbbe che tu voglia passare\nla giornata a dormire.
MID_WU_B_2_SOON_#001	Ti sei svegliat\x0E\x0A\x00\x08\x02o\x02a di soprassalto.
MID_WU_B_2_SOON_#002	Significa che sai di aver dormito troppo. Bene.
MID_WU_B_2_SOON_#003	Sappi che non ti sgriderò, anche\nse molti lo farebbero.
MID_WU_B_2_WAKEUP_#001	Forse gli altri alleati ti svegliano\ncon delicatezza...
MID_WU_B_2_WAKEUP_#002	ma da me non aspettarti coccole.
MID_WU_B_2_WAKEUP_#003	Forza, in piedi.
MID_WU_B_2_WAKEUP_#004	I nemici non aspettano.
MID_WU_B_2_HELLO_#001	Era ora.
MID_WU_B_2_HELLO_#002	Tranquill\x0E\x0A\x00\x08\x02o\x02a, non sono arrabbiata.
MID_WU_B_2_HELLO_#003	Se ti do questa impressione...
MID_WU_B_2_HELLO_#004	forse ti senti in colpa per aver dormito troppo.
MID_WU_A_1_IN_#001	Mi domando se il mio Drago Divino
MID_WU_A_1_IN_#002	abbia mai avuto bisogno di aiuto\nper svegliarsi.
MID_WU_A_1_SOON_#001	Oh, mi hai sentita.
MID_WU_A_1_SOON_#002	L'altro Drago Divino
MID_WU_A_1_SOON_#003	non chiedeva mai aiuto a nessuno.
MID_WU_A_1_SOON_#004	Ma non mi sto lamentando.\nA dire il vero, mi piace aiutarti.
MID_WU_A_1_WAKEUP_#001	Mi tornano in mente tanti ricordi...
MID_WU_A_1_WAKEUP_#002	Ma non è quello il Drago Divino
MID_WU_A_1_WAKEUP_#003	che voglio proteggere ora.
MID_WU_A_1_WAKEUP_#004	Ti prego, Drago Divino...\nresta lontan\x0E\x0A\x00\x08\x02o\x02a dai pericoli.
MID_WU_A_1_HELLO_#001	Hai sentito tutto.
MID_WU_A_1_HELLO_#002	È normale che io preghi per la tua incolumità.
MID_WU_A_1_HELLO_#003	Come ci siamo già dett\x0E\x0A\x00\x08\x02i\x02e...
MID_WU_A_1_HELLO_#004	nessun\x0E\x0A\x00\x08\x02o\x02a di noi due vuole perdere l'altr\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_A_2_IN_#001	Se continua così...
MID_WU_A_2_IN_#002	dovrò chiamarti Dormiglione Divino.
MID_WU_A_2_SOON_#001	Ahahah.
MID_WU_A_2_SOON_#002	Come speravo...
MID_WU_A_2_SOON_#003	Il tuo nuovo nome ti ha fatto aprire gli occhi.
MID_WU_A_2_SOON_#004	Buongiorno, Dormiglione Divino.
MID_WU_A_2_WAKEUP_#001	Sono allibita.
MID_WU_A_2_WAKEUP_#002	Non fai una piega e continui a dormire.
MID_WU_A_2_WAKEUP_#003	Continuerò a darti quel nomignolo
MID_WU_A_2_WAKEUP_#004	finché il messaggio non ti sarà chiaro.
MID_WU_A_2_HELLO_#001	Finalmente svegli\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_A_2_HELLO_#002	Mh?
MID_WU_A_2_HELLO_#003	Hai sognato che qualcuno\nti dava uno strano soprannome...
MID_WU_A_2_HELLO_#004	Non capisco...
MID_WU_A_2_HELLO_#005	Ciò che dici non ha senso.
MID_WU_S_1_IN_#001	Drago Divino.
MID_WU_S_1_IN_#002	Solo perché ti amo
MID_WU_S_1_IN_#003	non vuol dire che ci andrò leggera.
MID_WU_S_1_SOON_#001	Buongiorno.
MID_WU_S_1_SOON_#002	Noto con piacere che ti sei\nsvegliat\x0E\x0A\x00\x08\x02o\x02a in fretta.
MID_WU_S_1_SOON_#003	Così abbiamo più tempo.
MID_WU_S_1_SOON_#004	Ti va di passare la mattinata con me?
MID_WU_S_1_SOON_#005	Noi due sol\x0E\x0A\x00\x08\x02i\x02e, tesoro.
MID_WU_S_1_WAKEUP_#001	Sei \x0E\x0A\x00\x0C\x04il\x04la solit\x0E\x0A\x00\x08\x02o\x02a teston\x0E\x0A\x00\x08\x02e\x02a.
MID_WU_S_1_WAKEUP_#002	Se posso dire la mia,
MID_WU_S_1_WAKEUP_#003	preferirei non disturbarti.
MID_WU_S_1_WAKEUP_#004	Mi sdraierei accanto a te,\nabbandonandomi ai sogni.
MID_WU_S_1_WAKEUP_#005	Ma il mondo ha bisogno di noi,\nora più che mai.
MID_WU_S_1_WAKEUP_#006	Quindi...
MID_WU_S_1_WAKEUP_#007	devo chiederti di svegliarti.
MID_WU_S_1_WAKEUP_#008	Non solo per la salvezza del mondo,
MID_WU_S_1_WAKEUP_#009	ma anche per me, che ti amo\npiù di chiunque altro.
MID_WU_S_1_HELLO_#001	Ciao, amore mio.
MID_WU_S_1_HELLO_#002	Diamoci da fare per salvare il mondo.
MID_WU_S_1_HELLO_#003	E poi...
MID_WU_S_1_HELLO_#004	quando torni a casa
MID_WU_S_1_HELLO_#005	san\x0E\x0A\x00\x08\x02o\x02a e salv\x0E\x0A\x00\x08\x02o\x02a...
MID_WU_S_1_HELLO_#006	ti canterò una delle mie ninnenanne.
MID_WU_S_2_IN_#001	Sono un po' in anticipo, oggi.
MID_WU_S_2_IN_#002	Drago Divino?
MID_WU_S_2_IN_#003	Ah. Dormi ancora.
MID_WU_S_2_SOON_#001	Perdonami.
MID_WU_S_2_SOON_#002	Non volevo svegliarti.
MID_WU_S_2_SOON_#003	Però...
MID_WU_S_2_SOON_#004	sono contenta che sia successo.
MID_WU_S_2_SOON_#005	Ti sei accort\x0E\x0A\x00\x08\x02o\x02a della mia presenza.
MID_WU_S_2_SOON_#006	Che ne dici
MID_WU_S_2_SOON_#007	se passiamo la mattinata insieme?
MID_WU_S_2_WAKEUP_#001	A volte mi turba un po'
MID_WU_S_2_WAKEUP_#002	vederti dormire.
MID_WU_S_2_WAKEUP_#003	La tua espressione mi ricorda\nl'altro Drago Divino.
MID_WU_S_2_WAKEUP_#004	Quello del mio passato.
MID_WU_S_2_WAKEUP_#005	La pace del suo volto nel suo ultimo sonno\nsarà per sempre incisa nella mia mente.
MID_WU_S_2_WAKEUP_#006	Non posso farci nulla,
MID_WU_S_2_WAKEUP_#007	non riesco a liberarmi di questa sensazione.
MID_WU_S_2_WAKEUP_#008	Sarò sempre in pensiero per te.
MID_WU_S_2_WAKEUP_#009	Ti prego... non abbandonarmi mai.
MID_WU_S_2_WAKEUP_#010	Non sopporterei l'idea di separarmi da te.
MID_WU_S_2_HELLO_#001	Bene, ti sei svegliat\x0E\x0A\x00\x08\x02o\x02a.
