MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nClaude, so che ti chiamano lo "stratega\nsupremo". Non disdegnerei qualche\nsuggerimento, in effetti.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08クロード\nCaspita, quanta serietà. D'accordo, metti da\nparte le armi e facciamo due passi intanto che\nparliamo.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08リュール\nNon mi è facile stabilire quale sia l'arma più\nadatta a me. Tu come hai fatto a scegliere?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nディミトリ\nLa reliquia degli eroi tramandata nella mia\nfamiglia era una lancia. È stata una scelta\nobbligata.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nChe piani hai per quando tutto questo sarà\nfinito?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nMmmh... Mi piacerebbe godermi un po' di\nlibertà e viaggiare per il mondo. Oltre che\ndormire e leggere più che posso.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nSe possibile, vorrei averti accanto in quel\nfrangente. Comunque, dobbiamo prima\naspettare che il mondo si riassesti. \x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nTerrò presente il tuo gentile invito, mentre\nci avviciniamo al momento dell'agognato\nriposo.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLady Edelgard, ci terrei a ringraziarvi\nnuovamente per l'aiuto che date al Drago\nDivino.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nNon occorre essere così formali. Siamo\nalleati, no?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nVander, i bambini nutrono una grande\nammirazione nei tuoi confronti. Mi farebbe\ncomodo questa tua dote nel mio esercito.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nLa vostra offerta è magnanima, ma ho scelto di\nservire il Drago Divino fino alla fine dei miei\ngiorni.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nHo notato che mi osservavate mentre lavoravo\na maglia, lady Edelgard. Cosa ne pensate del\nfazzoletto?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nMi è sembrato eccezionalmente intricato.\nHai delle dita agili, Vander.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nMi onorano i vostri complimenti. In molti\nsostengono che il mio passatempo non si addica\na un cavaliere della mia importanza...\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nNon ascoltarli! Io, invece, sono un po' invidiosa\ndelle tue abilità. Non sono brava in questi lavori.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nHai sempre l'aria allegra, Clanne. Qual è il tuo\nsegreto?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nSono contento di essere il valletto del Drago\nDivino. E poi, ho l'occasione di parlare con te!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クラン\nGrazie per l'aiuto in battaglia. Senza di te\nnon so come faremmo!\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0C\nディミトリ\nNe sono onorato. Puoi contare su di me.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Dimitri, non è un problema per te\ntrascorrere tutto questo tempo assieme a me?\nNon vorrei mai essere un peso.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0C\nディミトリ\nNessun problema, no. Mi ricordi i miei compagni\ndi classe e mi metti di buonumore.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nCom'erano i tuoi compagni? Mi avrebbero\nvoluto come amico?\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0C\nディミトリ\nGli saresti piaciuto, secondo me. Non ti\navrebbero lasciato un attimo di pace.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nTi ho vista fare degli strani movimenti, ieri.\nPer cosa ti stai allenando?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nAh, quelle? Sono delle pose. Sono la valletta\ndel Drago Divino, in fondo. Devo sempre\napparire al meglio.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x08\x06フラン\nChe frustrazione. Avrei dovuto fare di meglio\nnell'ultima battaglia...\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08クロード\nNon hai nulla da rimproverarti. Continua a dare\nil massimo e vedrai che la prossima volta andrà\nmeglio.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x08\x06フラン\nSei sempre allegro, tu. Non hai mai dei\nmomenti di scoramento?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08クロード\nGuarda che siamo delle persone anche noi\nemblemi. Ho anch'io i miei momenti tristi, più\nspesso di quanto tu creda.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nDici davvero? Meno male, la cosa mi\ntranquillizza. Ti va di farmi qualche esempio?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08クロード\nPer esempio, quando sto raccontando una lunga\nbarzelletta e Dimitri mi interrompe e rovina\ntutto prima che possa finirla.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSenti, Claude, dovremmo fare una gara di forza,\nPenso sia il modo più facile per diventare amici!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08クロード\nSul diventare amici mi trovi d'accordo, ma una\ngara come quella non sarebbe giusta. Che ne\ndici di una partita a scacchi?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHai notato quanti muscoli ho messo su, Claude?\nNiente male, vero?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08クロード\nGià, complimenti davvero! Chi l'avrebbe mai\ndetto che sotto sotto nascondevi tutti quei\nmuscoli?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHo saputo che stai studiando le piante\nmedicinali del mio mondo. Sei davvero diligente.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08クロード\nFa sempre comodo avere qualche medicina a\nportata di mano. Ci potrebbero avvelenare\nin qualsiasi momento.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, stai preparando degli antidoti? Hai bisogno\ndi testarli su qualcuno? Il mio fisico sopporta di\ntutto, se ti serve!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08クロード\nNon hai proprio paura di niente, eh? Spero che\nil tuo coraggio ti porti a vivere a lungo.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAnche tu sei di sangue reale, Dimitri, eppure sei\ncompletamente diverso dal principe Alfred.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nディミトリ\nNon me ne stupisco, sai? La cultura del\nFaerghus si basa sulla semplicità e l'austerità.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nブシュロン\nHo un senso dell'orientamento penoso. Passo\npiù tempo a cercare lo stagno, che a pescare.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nディミトリ\nLa prossima volta che vai, dimmelo.\nTi accompagnerò volentieri.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nChe succede, Boucheron? Hai gli occhi gonfi...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nOh... Scusami, non volevo farti preoccupare...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nディミトリ\nSe hai dei problemi, parlamene pure. Solo se te\nla senti, naturalmente...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nNo, ecco... Sto leggendo un libro molto\ncoinvolgente. Mi viene da piangere solo a\npensarci...\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nSei una persona energica, Etie. Fosse per te,\nsaresti sempre in giro a fare una corsa.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nCorrere mi rinvigorisce. Vuoi venire con me\nla prossima volta?\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nC'è qualcosa di inusuale nelle tue tazzine da tè,\nma non capisco bene cosa.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nChe occhio, Claude. Le mie tazzine hanno i pesi.\nMi alleno anche così!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nエーティエ\nSei proprio in forma, Claude. Conosci qualche\nallenamento speciale da consigliarmi?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08クロード\nMi ricordi un mio vecchio amico. Anche lui\nera un perfezionista degli allenamenti.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0A\x08クロード\nDovevi vedere come si emozionava quando\nparlava con Dimitri...\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nDimitri? Ottimo! Devo parlargli subito, non c'è\ntempo da perdere. Potresti chiamarlo?\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTi piacerebbe un bel tè assieme? Quest'anno,\nla qualità è migliore del solito.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nAccetto con piacere. Non posso assaggiarlo,\ncerto, ma nessuno mi vieta di godermi l'aroma.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMio fratello, un tempo, era sempre malato,\ntanto da non poter uscire dalla sua stanza. Ora,\nperò, si è ripreso grazie ai duri allenamenti.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nAvevo una compagna di classe che stava\nsempre chiusa nel dormitorio, ma per altre\nragioni. Lei odiava allenarsi.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSembra quasi miracoloso che all'Accademia\nUfficiali fossero riuniti a studiare fianco a fianco\ni futuri governanti di diversi paesi.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nForti alleanze portano a soluzioni pacifiche.\nGrazie alla tua cerchia di conoscenze, il futuro\nè promettente!\x0E\x04\x00\x00
