MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAuuuh! Ti è piaciuta la festa, Rosado?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nUh, auuuuh! Incredibile! Se è sempre così\ndivertente, allora voglio farlo ogni giorno!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nOgni giorno, eh? Suona faticoso persino\nper me.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nMa per te immagino sia diverso. In fondo vieni\ndal villaggio delle fate.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nEh, già!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nSo che lì potete stare alzati tutta la notte senza\nche vi vengano le borse sotto agli occhi...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nE poi potete mangiare e bere tutto ciò che\npiù vi aggrada senza preoccuparvi che faccia\nmale.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nTi dirò... Sono un po' geloso. Piacerebbe anche\na me vivere così.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ロサード\nChe sollievo, sei solo geloso.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nEh? In che senso?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nBeh, molti pensano che io sia... strano.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nPfft! Che ridicolaggine.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nTu non dargli retta. Scommetto che anche loro\nsono gelosi, ma si vergognano ad ammetterlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nMh, già. Grazie, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nAllora conto su di te per la prossima festa, eh!\nTieniti pronto! Auuuuh!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nAuuuh!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nCos'è quell'aria tetra, Pandreo? Hai esagerato\ncon le feste?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nEh... Non proprio. Vorrei che fosse solo questo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nCosa ti preoccupa? Ti ascolto, se vuoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nNon è la prima volta che succede, e non sarà\nl'ultima...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nVedi, alcuni membri del clero hanno inviato un\nreclamo formale alla mia chiesa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nAh, capito. La tua chiesa è un po' fuori dagli\nschemi, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nDa quanto ne so attiri i fedeli con feste sfarzose\ne abiti curiosi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nE metto anche dei grandi segnali per indicare\nla strada.\x0E\x04\x00\x00
