MID_TUT_BMAP_FireBall_TITLE	Bombe vulcaniche
MID_TUT_BMAP_FireBall_0	Le bombe vulcaniche infliggono danni\nall'impatto.
MID_TUT_BMAP_FireBall_1	Quando vedi il suolo "terra bruciata",\nsignifica che stanno per cadere le bombe.\nTieni lontani i tuoi alleati da quegli spazi.
MID_TUT_BMAP_FireBall_2	Anche le unità sui crateri subiranno danni.
MID_TUT_BMAP_Smoke_TITLE	Fumo
MID_TUT_BMAP_Smoke_0	Il terreno avvolto dal fumo ridurrà la capacità\ndi schivata (Scv), difesa (Dif) e resistenza (Res).
MID_TUT_BMAP_Smoke_1	In questa mappa in particolare, il fumo si\ndiffonde lentamente, quindi fai estrema\nattenzione.
MID_TUT_HUB_REFRESH_TITLE	Svago
MID_TUT_HUB_REFRESH_0	Nel Somniel, puoi scegliere due alleati a cui\nfar passare un po' di tempo libero in attività\nrilassanti.
MID_TUT_HUB_REFRESH_1	Il sostegno tra i due alleati scelti potrebbe\naumentare grazie al tempo trascorso insieme.
MID_TUT_HUB_REFRESH_2	L'attività può svolgersi tra una battaglia e\nl'altra in piscina, al frutteto e alla stalla, una\nvolta per ciascun luogo.
MID_TUT_HUB_REFRESH_NOTICE	L'opzione "Svago" è ora disponibile\nin piscina e in altri luoghi.
MID_TUT_HUB_REFRESH_OPEN	A partire da ora, potrai rilassarti con attività\ndi svago.
MID_TUT_GOD_HECTOR_TITLE	Emblema Hector
MID_TUT_GOD_HECTOR_0	L'emblema Hector è molto forte in difesa, può\nproteggere gli alleati e contrattaccare i nemici.
MID_TUT_GOD_HECTOR_1	L'abilità sincro "Reazione lesta" permette di\ncontrattaccare con un attacco doppio se i PS\ndell'unità sono al di sopra di un certo valore.
MID_TUT_GOD_HECTOR_2	L'arma unione "Wolfbeil" infligge danni extra\ncontro le unità a cavallo e corazzate.
MID_TUT_GOD_HECTOR_3	L'abilità unione "Impenetrabile" incrementa\ndifesa e resistenza dell'unità quando questa\nsubisce un attacco.
MID_TUT_GOD_HECTOR_4	L'attacco unione "Acqua cheta" impedisce ai\nnemici di infliggere attacchi doppi e breccia.\nL'unità contrattacca con attacco doppio.
MID_TUT_GOD_SENERIO_TITLE	Emblema Soren
MID_TUT_GOD_SENERIO_0	L'emblema Soren è specializzato in magie\nd'attacco ed è in grado di manipolare le\ncondizioni di battaglia.
MID_TUT_GOD_SENERIO_1	L'abilità sincro "Assegna esca" rende un\ndeterminato alleato più facile da prendere\ndi mira da parte del nemico.
MID_TUT_GOD_SENERIO_2	L'arma unione "Tempesta" attacca nemici\ndistanti con attacchi a lungo raggio basati\nsulla magia del tuono.
MID_TUT_GOD_SENERIO_3	L'abilità unione "Fiammata" riduce la resistenza\ndel nemico e ripristina i PS dell'unità quando\nquesta attacca con un tomo.
MID_TUT_GOD_SENERIO_4	L'attacco unione "Cataclisma" colpisce un'area\ncon la magia del fuoco, del tuono e del vento.
MID_TUT_GOD_CAMILLA_TITLE	Emblema Camilla
MID_TUT_GOD_CAMILLA_0	L'emblema Camilla può manipolare il terreno\ne controllare le sorti della battaglia dal cielo.
MID_TUT_GOD_CAMILLA_1	L'abilità sincro "Vena del drago" aggiunge effetti\nal terreno a seconda del tipo di unità che la usa\ned elimina fiamme o miasma dal terreno.
MID_TUT_GOD_CAMILLA_2	L'arma unione "Ascia lampo" colpisce i nemici\na distanza con attacchi magici a lungo raggio.
MID_TUT_GOD_CAMILLA_3	L'abilità unione "Sorvolo" potenzia il movimento\n(Mov) e permette all'unità di volare.
MID_TUT_GOD_CAMILLA_4	L'attacco unione "Inferno oscuro" infligge danni\nai nemici su una vasta area e incendia il terreno.
MID_TUT_TIPS_Hector	Emblema Hector
MID_TUT_TIPS_Senerio	Emblema Soren
MID_TUT_TIPS_Camilla	Emblema Camilla
MID_TIPS_OTHER_35	Puoi effettuare un'attività di svago nei tre luoghi del Somniel una volta per ciascun\nluogo tra una battaglia e l'altra.
MID_TIPS_SKILL_36	Quando l'unità attacca con un tomo del fuoco, tuono o vento, riduce un parametro\ndel nemico per 1 turno. Il parametro ridotto dipende dal tipo di tomo usato.
MID_TIPS_SKILL_37	Quando l'unità attacca con la magia un nemico in stato di breccia, il nemico rimane\nin stato di breccia con una determinata probabilità.
MID_TIPS_GOD_29	Fratello del marchese di Ositia in Elibe, un continente di un altro mondo.\nSferra attacchi incredibilmente potenti con la sua ascia.
MID_TIPS_GOD_30	Con Fragore, la sua ascia tuono, combatté al fianco di Eliwood, padre di Roy,\ncontro un malefico nemico.
MID_TIPS_GOD_31	Stratega dei mercenari di Greil nel continente di Ozna, in un altro mondo.
MID_TIPS_GOD_32	Un saggio appartenente al gruppo di mercenari di Ike. Stratega di impareggiabile abilità.
MID_TIPS_GOD_33	Principessa di Nohr, una nazione di un altro mondo. Potente guerriera dalla personalità\naffettuosa, che cavalca una viverna.
MID_TIPS_GOD_34	Una delle sorelle di Corrin. Estremamente devota nei confronti di amici e familiari,\nma spietata con i nemici.
MID_TUT_NAVI_G004_ADVICE_START	A causa del gran numero di nemici con bastoni\nin questa mappa, l'opzione "Animazioni bastoni/\ndanza" verrà impostata su "Proprio turno" per\nquesta battaglia. Puoi modificare l'opzione\nquando vuoi nelle impostazioni.
MID_TUT_NAVI_G004_ADVICE_END	La modifica apportata all'opzione "Animazioni\nbastoni/danza" all'inizio di questa battaglia\nverrà ora resettata.
