MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nComplimenti per oggi, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nEh? Cosa? Il Drago Divino mi sta elogiando?!\nYurrà! Sono al settimo cielo! Anzi, all'ottavo!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nPenso che delle doti come le tue siano merce\nrara. Dovevi essere una mercenaria, o qualcosa\ndel genere.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nUhm... mercenaria! Ma certo! Non vi sfugge\nnulla, eh? Voglio dire...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nOvvio! Ho prestato servizio un po' qui, un po' lì.\nNiente di che.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nLo immaginavo. La tua forza deve averti dato\nuna certa notorietà.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nUh, sarà... Voglio dire, certo! Sono... piuttosto\nrinomata. Su questo non ci piove.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nImmagino che molti dei nostri compagni già\nabbiano potuto provare la tua potenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nAndrò a fare qualche domanda in giro. Di sicuro\nconoscono qualche storiella interessante.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nAaah! No! Cioè... Non è che potreste\ngentilmente... non farlo?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nCosa? E perché?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nPerché vi ho mentito. Di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nNon sono mai stata una mercenaria. Suonava\nbene e vi ho assecondat\x0E\x0A\x00\x08\x02o\x02a... Chiedo perdono.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nNon capisco.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nMi avete domandato del mio passato e sono\nandata nel panico. Così mi sono nascosta dietro\na una bugia, come mio solito.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nVi chiedo umilmente scusa, Drago Divino. Non\nmeritate i miei inganni.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nVolevate solo farmi un complimento e io ho\nrovinato tutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nVi prego di scusarmi, ora.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nYunaka...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nDrago Divino... C'è qualcosa che questa umile\nimpostora può fare per voi?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nUna chiacchierata mi basterebbe.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nCome volete. Sono pronta ad accettare qualsiasi\npunizione riteniate opportuna.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nPunizione? E chi ha parlato di punizioni? Volevo\nringraziarti per essere diventata mia alleata.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nEh, ma davvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nLa penso proprio così.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nProteggi sempre gli altri con tutta te stessa.\nNon vedo ragioni per punirti.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nSe hai mentito, credo sia solo perché non ci\nconosciamo ancora molto bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nOccorrerà prendere provvedimenti. Perché\nnon mi racconti qualcosa di te, Yunaka?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nCosì però mi mettete in difficoltà...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nSe non vuoi che insista, non lo farò. Non c'è\nproblema.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nE va bene...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nPrima di unirmi a voi ero... una vagabonda.\nIn cerca del mio posto nel mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nLa me di allora non esiste più. O almeno è\nquello che mi piace credere.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nNon sembri molto orgogliosa di chi eri.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nBeh, io mi piacevo, ma molti non avevano\nla stessa opinione. Per questo dovetti cambiare.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nMa ora mi piaccio così come sono. E poi, da\nquando ho incontrato voi, non faccio che\ndivertirmi!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nEheh, buono a sapersi.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nGrazie per la chiacchierata, Yunaka. Dovremmo\nfarlo più spesso, non trovi?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nAffare fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nDi cosa ti andrebbe di parlare oggi, Yunaka?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nNon sarà facile, ma proverò a spiegarvi come\nmai la verità è così scomoda per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nAllora, siete pront\x0E\x0A\x00\x08\x02o\x02a? La verità è che io...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nIo... ero...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nNon devi dirmelo per forza.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nMa vedete...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nSi vede quanto sia difficile per te. Ce l'hai\nscritto in volto.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nTi ho promesso che non avrei ficcato troppo il\nnaso negli affari tuoi. E intendo continuare così.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nDavvero vi sta bene che io abbia dei segreti?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nMa certo. Anch'io ho i miei segreti. Non fartene\ntroppo un problema.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nAscolterò con piacere solo quello che ti senti\ndi condividere con me.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nNon so come ringraziarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nUna cosa non mi vergogno di dire: che sono\ngrata di avervi come amic\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nPenso proprio di aver trovato il mio posto nel\nmondo, sapete?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nE questo è solo grazie a voi. Non dimenticherò\nmai cosa avete fatto per me. Combatterò con\ngioia al vostro fianco e al fianco di tutti gli altri.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nLo apprezzo molto, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nVi racconterò del mio passato, ma penso che ciò\nche più conti sia il presente. Noi, qui e adesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nStiamo appena imparando a conoscerci. C'è\nancora un mare di cose da scoprire! È come\nun'avventura!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nUn'avventura. Mi piace. Spero che continuerà\nancora a lungo, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nDrago Divino, devo svuotare il sacco.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ユナカ\nSo che avete promesso di non ficcare il naso,\na meno che non avessi voluto parlarvene io...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06ユナカ\nMa non sarò mai più pronta di così, e voi avete\nil diritto di sapere.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nD'accordo. Ma solo se è ciò che vuoi davvero.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ユナカ\nUhm... Forza.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06ユナカ\nMi chiamavo Larimar, ma ho cambiato nome\nper sfuggire al mio passato da assassina.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nVai avanti.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ユナカ\nNon sono affezionata alla persona che ero...\ne neanche ai miei genitori, che mi\nabbandonarono da piccola.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ユナカ\nMa d'altro canto Larimar rappresenta il mio\npassato e farà sempre parte di me.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ユナカ\nPer cui, anche se ho lasciato il passato alle\nspalle, non potete dire di conoscermi se non\nconoscete lei.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nSei stata coraggiosa a raccontarmi tutto questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nCi tengo a conoscerti davvero. Questa nostra\nconversazione è un dono prezioso per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ユナカ\nGrazie, Drago Divino. Mi fa piacere che sia così.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nCi mancherebbe.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nMi hai svelato il tuo segreto, ma ora vorrei\nsvelartene uno io.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06ユナカ\nNon sapevo che ne aveste uno.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nQuando mi hai detto che eri contenta di\ncombattere al mio fianco, volevo fare i salti di\ngioia.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ユナカ\nCome mai?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nCredo che mi sia diventato impossibile\nimmaginare la mia vita senza di te.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nSei la persona più importante nella mia vita.\nVorrei averti sempre con me.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nEcco. Il mio segreto era questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ユナカ\nDrago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nSe sei d'accordo, vorrei regalarti l'anello del\npatto.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ユナカ\nMa quell'anello è molto prezioso per voi...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nProprio per questo voglio che lo abbia tu.\nAnche tu sei preziosa per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nSia che parliamo del tuo passato o del tuo\npresente... io apprezzo tutto di te.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ユナカ\nSiete incredibile!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06ユナカ\nVoglio conoscere tutte le vostre sfaccettature,\ne sappiate che le accetterò tutte così, come voi\naccettate ogni parte di me.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06ユナカ\nMai più bugie, mai più segreti. Voglio starvi\naccanto per il resto della mia vita. Ecco, questo\nè quanto.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nLa penso allo stesso modo. D'ora in avanti\nvivremo senza segreti, come compagn\x0E\x0A\x00\x08\x02i\x02e.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06ユナカ\nSì, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06ユナカ\nDa oggi inizia un nuovo capitolo, e chissà\ncos'ha in serbo per noi il futuro!\x0E\x04\x00\x00
