MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nFinalmente. Con questo dovrei aver imparato\ni passi.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x02\x0A\x08パンドロ\nSeadall, hai dei movimenti così... aggraziati.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nNaturale. Sono un ballerino professionista.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nA vederti ballare così, mi viene quasi voglia\ndi fare qualche passo anch'io.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nTi va se balliamo insieme?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nCerto, con piacere.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x04\x03\x04
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nUn finale impeccabile! Passerà alla storia come\nil miglior ballo di sempre!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nEhm, Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nVeramente non ho mai ballato una danza del\ngenere. I movimenti... sono scoordinatissimi.\nTutto fuori tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nOra capisco perché la chiamano Ridda Oscura.\nUna danza davvero terribile.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nMa come? Io mi sono divertito, invece.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nE ti basta divertirti?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nUhm, in che senso "mi basta"?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nMi pare di capire che ti piaccia ballare, no?\nMa per ballare bene non basta la passione.\nCi vuole anche un grande sforzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nMmmh. Ah, sì? Funziona così?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nEsattamente. Ma non temere, ti insegnerò a\nballare come si deve.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\nSe insisti! Non credo mi ci vorrà molto per\nrecuperare.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nUno, due... Tre, quattro. Cinque, sei, sette, otto.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nDue... Due... Tre, quattro.\nCinque, sei, sette, otto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nUghhhh!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nSeadall, conti in modo sbagliato! Mi confondi!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nNo. Sei tu che non segui il ritmo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nNon è colpa mia se fino a oggi ho sempre\nballato seguendo il mio ritmo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nMmmh. Dobbiamo liberarci delle vecchie\nabitudini e dare spazio a delle solide\nfondamenta.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nStai dicendo che non posso più ballare come\npare a me?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nEh, no, mi spiace. Ma è per il tuo bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nSgrunt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nQuando ho iniziato non mi riusciva un passo\nche fosse uno. Ma il mio maestro si è dedicato\na me anima e corpo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nL'allenamento era così faticoso che certe volte\navrei voluto scappare. Ma ora sono riconoscente\ndi tutto quell'impegno.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nAdesso posso insegnarti a ballare, proprio come\nha fatto il mio maestro con me.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nGuarda che io non te l'ho mai chiesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nMa... credevo che volessi imparare a ballare...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nBeh, volevo divertirmi. Ma questo... non è\npiù divertente.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nGrazie per i tuoi insegnamenti. Quel poco che\nè durato.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nPandreo, aspetta! La lezione non è finita!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08パンドロ\n♪ Mmm mmm mmm... ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh, ciao Seadall. Se vuoi propinarmi un'altra\nlezione, sappi che non mi interessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nNonostante tutti i miei insegnamenti... il tuo\nsenso del ritmo è ancora scadente.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nE quindi? Sei qui solo per insultarmi?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nNo. Tutt'altro. Ti stavo osservando mentre\nballavi... e ho capito che ero in torto.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nMh?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セアダス\nGodersi la danza. Ecco cosa conta.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nSe ho provato a insegnarti qualcosa è solo\nperché credevo che avessi qualche difficoltà.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nCosì sembrava. Ma ora stavi danzando senza\npensieri, e si vedeva che ti piaceva.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nBeh, sì. Mi diverto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nEd è questo che conta, nient'altro.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nSe mi sentisse il mio maestro si arrabbierebbe,\nma avevo bisogno di imparare questa cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nPandreo, perdonami se ho cercato\ndi insegnarti a non amare il ballo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nSeadall...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nIo volevo solo ballare con te.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nSì. E lo voglio ancora. È solo che le tue lezioni\nnon fanno per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nAllora? Ti va se proviamo di nuovo?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nCon gioia.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nSegui il ritmo del tuo cuore. Non puoi sbagliare.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nOra sì che ci capiamo! Forza, piroettiamo\nun po'! E soprattutto: divertiamoci!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nE poi... che ne dici di darmi un'altra lezione di\ndanza? Ma niente di troppo complicato. Giusto\nuna cosa al volo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nAhah. La prossima lezione sarà più divertente,\npromesso.\x0E\x04\x00\x00
