MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nFinito... Ho finito. Maledizione, e ora che faccio?\nCosa mi terrà in *vita*?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nCosa c'è, Zelkov? Se vuoi sfogarti, ti ascolto.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nMolto gentile. Ma non credo potresti *capire*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nProviamo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nHo raggiunto... uno dei miei *obiettivi*.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh. Tutta questa angoscia per un semplice...\npassatempo? Credevo fosse qualcosa di grave.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nLa parola "passatempo" non rende giustizia\na qualcosa che per me è *fondamentale*.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nOh... Scusami, allora. Continua pure.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nStavo *allevando* un passerotto.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nI genitori lo avevano *abbandonato*. Non\nsapeva neanche volare.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nHo deciso di *prendermene cura*. Sono\ndiventato un padre adottivo, praticamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nChe tenero.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nMa ora non ho più nulla da fare. Se n'è andato.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nÈ scappato?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nHa lasciato il nido. Prendendosi il suo *posto*\ntra le nuvole.\x0E\x04\x00\x00
