MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nSpiriti delle carte, gettate la vostra luce su di me\naffinché possa vedere il giusto cammino!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nAaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nSeadall! Ti ho sentito urlare. Va tutto bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nOh, Chloé. Sono nel bel mezzo di un'importante\nlettura.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nE urlare fa parte della cosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nEcco, guarda.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nProprio davanti a me... questa bella carne sul\nfuoco. Una vera tentazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nMa la mia danza sarebbe meno composta se\nmi lasciassi comandare senza controllo dalla\npassione per la buona cucina.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nIl cibo pesante fa male! Non posso fare passi\nfalsi. Ed ecco perché consulto le carte.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nEheh, interessante.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nE cosa vedi nelle carte?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nMi rammarica dirlo, ma questa carne non è\ndestinata a me.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nPerfetto, ce n'è di più per me!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nPer tutti i corpi celesti! Credevo che almeno\navresti provato a convincermi!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nE va bene, mangia pure. Ma potresti per favore\nfarlo lontano dai miei occhi?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nGrazie per la carne, Seadall. La prossima volta\noffro io!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nAh, beh. Mmmh... Non vedo l'ora.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06クロエ\nBeh, Seadall? Che te ne pare?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nE questo... lo chiami cibo?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nMa certo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nMa cosa sarebbe? Che ingredienti ha? Come\nsi prepara?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nSono uova allo zucchero.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nUova? Di che animale?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nDi un rarissimo pesce che vive nelle acque del\nFirene... perlopiù.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\n"Perlopiù"?! Che razza di uova ci sono qua\ndentro?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nUova deliziose, è chiaro. Non hai niente di\ncui preoccuparti.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nMi preoccupo sì, invece!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nD'altronde... hai fatto tutto questo per me,\nquindi sarebbe scortese non assaggiare.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nUgh, certo che questo aspetto... e soprattutto\nquesto odore... mi rovinano un po' l'appetito...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nNon è un cibo per tutti i palati.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nScusami, Chloé, ma proprio non ci riesco.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nChe peccato. Questo tipo di cucina ha sapori\naudaci che non intralcerebbero la tua danza.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nCosa hai detto?!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nQuesto piatto, oltre a essere saporito, non\npregiudicherà la mia prestazione?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nForse ho parlato troppo presto. Dopotutto\npenso che lo assaggerò.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nFantastico! Serviti pure.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nBuon appetito...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nNon ti va giù, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nNo, anzi... ha un suo perché. Un po'\namarognolo, a tratti dolce... Mi piace.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nDavvero? Ah, che sollievo. Temevo che non\navresti retto a un sapore così forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nDici così perché non sai cosa buttavo giù\nquando viaggiavo in carovana. Ho uno stomaco\ndi ferro.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\nMagari potresti dirmi di più su questo tipo\ndi piatti.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クロエ\nCon piacere. E grazie per non esserti tirato\nindietro.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nE uno, due, tre, quattro...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nNon mi stancherei mai di vederti ballare.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nMi stai guardando, Chloé? Se avessi saputo\nti avrei preparato una poltrona in prima fila.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nScusa, non volevo interromperti.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nMa ho portato dell'altro cibo da farti provare:\ngeco caramellato! Giuro che è salutare.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nSembra... appetitoso, come sempre. Grazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nHa un buon sapore. Inusuale, certo, ma\npiacevolmente dolce.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nA-ha! Lo sapevo.\x0E\x04\x00\x00
