MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nAmmiro la tua attitudine, Lyn. Si vede che\nhai vissuto una vita carica di significato.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04リン\nGrazie per il complimento. In realtà, non faccio\nnulla di che. Seguo solo il suono del vento, nel\nprofondo del mio cuore.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nTi dirò, Nel, sono vagamente allarmata\ndalla quantità di cibo piccante che riesci\na ingurgitare.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nNon volevo allarmarti. La verità è che, se non è\npiccante, il cibo non ha sapore per me.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nSei stata di grande aiuto in battaglia. Grazie\nmille. Nessuno è abile come te contro i\nnemici a distanza.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04リン\nOgnuno ha le sue competenze. Mi fa solo\npiacere metterle al tuo servizio, ogniqualvolta\nserva.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nLa tua maestria in battaglia è ammirevole. Più\nti osservo, più divento consapevole delle mie\ndebolezze.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04リン\nNe ho anche io, non credere. Nessuno è\nperfetto, ma proprio per questo dobbiamo\nfare affidamento l'una sull'altra.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nSei davvero impressionante con l'arco.\nMi ritengo fortunato a non averti come nemica.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04リン\nGrazie del complimento. Anche tu hai\ncombattuto egregiamente.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nSono curioso: da dove deriva la tua forza?\nE dove hai appreso le tue tecniche?\x0E\x04\x00\x00
