MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06クロエ\nTi prego, Bunet!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nMi dispiace, Chloé, ma no. Non lo farò.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nTi prego, ti prego! Solo tu puoi farlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nTi ho già risposto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nUffaaaa.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nChloé, anche io ho i miei princìpi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nIl più importante? Che gli ingredienti di questo\nmondo meritano di essere trattati con dignità.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nMi rifiuto di torturarli per creare quella...\npoltiglia mostruosa che hai in mente!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nEhi! Questo non te lo lascio dire!\nIl cibo delle bancarelle è una forma d'arte.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nPiatti unici, cucinati senza fronzoli, con\ningredienti inusuali ed economici.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nPensa che bello se un cuoco di prima classe\ncome te ne preparasse uno!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nNo. Dovrai chiedere a qualcun altro.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nNon puoi dirmi di no!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nMi basta una volta sola! Se mi fai provare del\ncibo di qualità professionale, saprò ripagarti!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nChloé... tu sì che sai riconoscere un artista\nquando lo vedi. Lo apprezzo molto.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nMa non posso farlo lo stesso.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nGli ingredienti mi dicono come vogliono essere\npreparati e io non andrò contro il loro volere.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nE ora, se vuoi scusarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クロエ\nUffa... non finisce qui! Troverò il modo per\nconvincerlo, garantito!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nChloé, immagino tu sia ancora qui per la stessa\nrichiesta.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nCi puoi scommettere!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nMa da dove ti viene questo amore per il cibo da\nbancarella? Sei cresciuta in una famiglia nobile.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nGià, e tutto quello che si mangiava lì era\nalta cucina.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nLa maggior parte della gente sarebbe contenta,\nma io... un giorno andai a un festival firenese...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nSentii questo profumo dolce e salato al tempo\nstesso, proveniente da un vicolo, e lo seguii\nper scoprire da dove veniva.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nÈ così che hai scoperto il cibo delle bancarelle?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nSì... senza pensarci su, comprai del cibo\nda una bancarella e lo provai.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nFu una vera rivelazione! Il sapore, l'odore,\nla consistenza... non avevo mai provato niente\ndel genere.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nPosso comprendere l'attrazione e il senso di\ntrasgressione per una giovane di buona famiglia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nPurtroppo la mia famiglia già non mi avrebbe\nmai permesso di mangiare fuori...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\n... figuriamoci l'idea delle bancarelle!\nSarebbero stati disgustati se avessero\nsaputo cosa avevo mangiato.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nCapisco... quindi finché abitavi con la tua\nfamiglia, ci hai dovuto rinunciare.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nBeh, non del tutto. Non potevo resistere e così\ncominciai ad andare all'insaputa dei miei.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nMangiavo a cavallo del mio pegaso e lanciavo\nlontano l'involucro per non lasciare prove.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nQuindi sporcavi l'ambiente.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nSì... a pensarci mi sento in colpa. Ora faccio\nsempre attenzione a dove getto i rifiuti.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nComunque questa è la mia storia.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nRiconosco la tua passione per il cibo.\nDevo ammettere che somiglia molto alla mia.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nMi hai convinto. Proverò a fare del cibo da\nbancarella... ma solo perché sei tu.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クロエ\nDavvero?!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nMa il mio piatto sarà di altissima qualità.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nSu quello non transigo, quindi non prendertela\ncon me se non rispecchia le tue aspettative.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nNon mi lamenterò, promesso! Mi rendi davvero\nfelice, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06クロエ\nOooh! Non vedo l'ora di provare la tua\nprima infornata!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nCome ti ho già detto, gli ingredienti mi dicono\ncome vogliono essere cucinati.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nSì, l'hai detto.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nE io non ignoro mai la loro voce.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nQuindi ho indagato in lungo e in largo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nHo cercato ingredienti che mi supplicassero\ndi essere usati per del cibo da bancarella.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nE ne hai trovati?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nSì, guarda.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nMolluschi dagli stagni del Solm e dei funghi\nche si trovano solo nelle foreste di quel regno.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nOooh! Che colori bizzarri!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nE questa è una spezia rovente, che ti stordirà\nappena la metterai in bocca.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nUna spezia... stordente?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nEheh... paura, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nIo?! La voglio provare con tutta me stessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nSapevo che il tuo coraggio culinario non si\nsarebbe lasciato impressionare.\x0E\x04\x00\x00
