MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nWah! Gah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nSapevo che ti avrei trovato qui, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, Citrinne. Eppure non ho detto a nessuno\nche sarei venuto qui ad allenarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nSo che ti rifugi qui, quando sei tormentato dai\ntuoi pensieri.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nEheh. Sono un libro aperto per te, eh? Non è\ncambiato molto da quando eravamo bambini.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nVenivamo sempre a giocare nei giardini, ricordi?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nIo volevo giocare a principi e principesse, e tu\ninvece trasformavi sempre tutto in guardie\ne ladri.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nPer forza. Rincorrersi è un ottimo allenamento.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nSenti...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nSei qui per quella lettera dei nobili?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nEsatto. Attendono una tua risposta.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nシトリニカ\nMi hanno mandata qui per sapere la tua\nopinione riguardo a future campagne militari.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nAnche io sono nobile, e tra gli autori di quella\nlettera ci sono molte conoscenze della mia\nfamiglia. Non posso continuare a ignorarli.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nDiamant, non farmi andare via a mani vuote.\nNon è più il tempo di giocare a rincorrersi.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nLa guerra è fonte di guadagno e i nobili sperano\ndi riempirsi le tasche per gli anni a venire.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nEbbene, io non ho nessuna intenzione di\nintraprendere guerre durante il mio regno.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nChe sollievo sentirtelo dire. I nobili non la\nprenderanno bene, ma me ne occupo io.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nMi spiace darti questa incombenza...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nNon mi pesa. Meglio questo, che tutte le\nbattaglie diplomatiche che devi subirti a corte.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCitrinne! Grazie ancora per esserti occupata dei\nnobili. Mi hai tolto un peso!\x0E\x04\x00\x00
