MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nLady Veyle, vi ho trovata.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nAh, non sapevo che mi stessi cercando.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nSì, vi cercavo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nForse non ci fate caso, ma è pericoloso per voi\nandarvene in giro tutta sola.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nPericoloso?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nE perché mai? Questa città è piena di\nbrava gente.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nConsiderando ciò che abbiamo fatto, alcune\ndi queste brave persone potrebbero nutrire\nsentimenti di vendetta.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nSe così fosse, chiederò perdono. Abbiamo fatto\ncose terribili... è innegabile.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nMa scusarsi potrebbe non bastare.\nSe dovesse succedervi qualcosa, io...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNon sono una bambina, so badare a me stessa.\nQuindi non seguirmi, d'accordo?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nAspettate, vi prego!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nC'è una cosa che voglio fare, e voglio farla\nda sola.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x02\x08\x06モーヴ\nSe n'è andata...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nNon sa cosa sta rischiando.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nLady Veyle sembra al sicuro,\nper ora...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nNon deve accorgersi che la sto seguendo.\nStarò indietro, senza farmi vedere.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nNon potrei mai giustificarmi davanti a Marni\nse permettessi che le accadesse qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\nMauvier! Lo so che mi stai pedinando!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nLady Veyle?!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDunque non credi che io sappia badare a me\nstessa?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNo. O meglio, sì, so che sapete badare a voi.\nMa sono anche preoccupato.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nCome vostro cavaliere, è mio dovere tenervi\nal sicuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nPrima ancora che mio cavaliere, sei un amico\nper me. Quindi vorrei che ti fidassi di me,\npiuttosto che preoccuparti.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nCosa? Un amico?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nSe le cose stanno così, allora vi prego,\nrivelatemi perché ve ne andate in giro da sola.\x0E\x04\x00\x00
