MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nSai una cosa, Rosado? Sei proprio carino, l'ho\nsempre detto.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nOh, grazie, sono lusingato!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nCome fai a essere sempre così adorabile?\nQual è il tuo segreto?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nUhm... non so se ho un vero e proprio segreto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nMi viene naturale, sono così e basta. Il mio\naspetto esteriore rispecchia quello interiore.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nAh, sì?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nCerto. L'apparenza conta, ma la vera bellezza\nè quella che portiamo dentro di noi.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nVestirsi alla moda non serve a niente se per\nprima cosa non crediamo in noi stessi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nMh... ecco perché io non sono carina. C'è\nqualcosa di sbagliato dentro di me.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nMa che dici? Lapis, tu sei fantastica.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nMa non ho per niente fiducia in me stessa!\nMi faccio un sacco di problemi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nCome il fatto che mangio le erbacce, o che\nsono fin troppo forte...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nNon me n'ero mai neanche accorto, ma\nè evidente che sia una tua grande\npreoccupazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nPerché non ti sfoghi un po' con me? Ti\nascolto.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nLo faresti? Grazie, apprezzo molto.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nQuando vuoi. Sono sempre disponibile per te.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nRosado, posso farti una domanda? Riguarda\nil nostro discorso dell'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nAvanti, spara!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nMi hai detto che il segreto della bellezza è\nla sicurezza in sé stessi. Mi potresti dire dove\ntrovi questa sicurezza?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nMah, non saprei. Forse dipende da come sono\ncresciuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nMmmh.\x0E\x04\x00\x00
