MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nMi hai trasmesso una nuova speranza.\nSenza di te mi sarei arres\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ルキナ\nTi ho solo dato un piccolo incoraggiamento.\nOra sta a te forgiare il tuo futuro.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nA volte mi domando se riusciremo davvero\na vincere questa guerra.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ルキナ\nLo so, le cose sembrano cupe, ma se non perdi\nla speranza, potrai allontanare l'oscurità.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nTempo fa fui portata via dalla mia casa.\nMa restare avrebbe segnato la mia condanna\ne tutto sarebbe andato perduto.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nCapisco cosa intendi. A volte bisogna tirarsi\nindietro... Ma alla fine avete vinto?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルキナ\nSì. Sono riuscita a cambiare il futuro e puoi\nfarlo anche tu. Non arrenderti mai, resisti fino\nall'ultimo respiro.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nCi proverò. Anche quando la situazione sarà\ndura, cercherò di restare sempre positiv\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nHo sentito dire che sei bravo nel lavoro\na maglia. Io invece sono un disastro nei lavori\ndi precisione. Ti invidio molto.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEeeh, molti sono stupiti che un uomo grande e\ngrosso come me si dedichi a un una cosa così...\ndelicata.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nPotresti anche fare dei maglioni. Sì, potresti\nfarne uno decorato con un'immagine bella\ngrande della tua faccia, ad esempio.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nBeh... sì, potrei... Ma non so se qualcuno\nvorrebbe indossare un capo del genere.\x0E\x04\x00\x00
