MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrincipessa Hortensia! Hai da fare? Dai,\nbeviamoci un tè.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrincipe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nSono irresistibile, lo so. Ma resto comunque una\nprincipessa. Il tuo atteggiamento è sconveniente.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nMa non avevo intenzioni nascoste, giuro. Volevo\ngiusto scambiare due chiacchiere innocenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nÈ inutile che ti fingi innocente. Le storie sul\ntuo conto arrivano fino in Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nAh, sì? La gente in Elusia parla di me? Ne sono\nlusingato.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon lo saresti, se sapessi cosa dicono.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nVabbè, che ci importa dei pettegolezzi?\nMi basterebbe bere un tè e parlare un po' dei\nnostri regni.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, grazie. Ho da fare, devo aiutare mia sorella.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nE poi anche tu sei un principe! Non dovresti\navere anche tu un sacco di cose da fare?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nÈ mia sorella l'erede al trono del Solm, non io.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nE quindi pensi di potertene andare in giro a\nsprecare il tuo tempo in futilità?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nNon sono futilità. Sono di pattuglia.\x0E\x04\x00\x00
