MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nEhi, Jade! Posso?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nMa certo, principessa Timerra. Avete bisogno?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nMi hanno detto che vieni da un villaggio di\nminatori, quindi dovresti intendertene di\nminerali...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nSì, è vero. Mio padre era gemmologo.\nHo imparato da lui quello che so.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nFantastico! Visto che sei così esperta, ti\nandrebbe di venire con me a caccia di minerali?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nVolete raccogliere dei minerali?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nEsatto!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nVedi, sto cercando qualcosa da cui ricavare\nun bel gioiello. Più grande è meglio è.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nHo già una vaga idea di dove andare, ma non\nsono sicura di trovare delle gemme.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAaah, ora capisco perché vi siete rivolta a me.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nSe volete posso aiutarvi... ma se vi interessano\ni gioielli forse fareste prima ad andare da un\ngioielliere.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nSiete una principessa. Non dovreste avere\nproblemi a comprare tutte le gemme rare che\nvolete.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nCerto, ma così si perde tutto il divertimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nPreferirei trovarle con le mie mani! Come si\nfaceva una volta!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nHo capito. Non è da tutti.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nVi aiuterò con piacere, se è questo che volete.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ジェーデ\nE nel mentre prenderò appunti per il prossimo\nromanzo...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nPerfetto! A me le gemme, a te le idee per il\nromanzo! Direi che non possiamo lamentarci!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nUff... Siamo tornate a mani vuote.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nMi dispiace, principessa Timerra. In effetti\ntemevo che sarebbe successo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nMa sì, non pensiamoci. È stato comunque\ndivertente esplorare la miniera insieme.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nAnzi, se hai tempo mi piacerebbe tornarci\nun'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nNon c'è problema. Vi posso accompagnare tutte\nle volte che volete.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nEhi, mi è venuta un'idea!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nSe troviamo una gemma abbastanza grossa\npossiamo intagliarla per farne due gioielli uguali!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nCosì potremo celebrare la nostra amicizia.\nBello, eh?\x0E\x04\x00\x00
