MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nNon pensare che io sia debole perché sono\nnobile. Sono più forte di quanto sembri!\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nNon ho mai pensato che tu fossi debole.\nSenza di te non sarei qui, Lyn!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nMi piace questo mondo. Tuttavia, mi mancano\nmolto le infinite distese verdi della mia terra.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nSembrano bellissime. Mi piacerebbe vederle\nun giorno.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nSembri stanc\x0E\x0A\x00\x08\x02o\x02a. Se c'è qualcosa che non va,\npuoi parlarne con me. Sono brava ad ascoltare.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIn battaglia a volte mi sento esitante perché\nnon ho ancora molta esperienza.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nE dopo mi metto in discussione, pensando a\ntutte le cose che avrei potuto fare diversamente.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04リン\nNon aver paura di sbagliare. Hai i tuoi amici,\ne anche me, qui a guidarti.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMi rallegra vedervi piena di energia, tuttavia\npotreste prendervi un malanno con delle vesti\ncosì leggere.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04リン\nNo, Vander, sto bene. Ho sempre indossato\nvestiti così... Oh. Ma ora che lo dici... gli\nemblemi possono prendere il raffreddore?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nNon ti stanchi a stare sempre in piedi?\nRilassati un po'! Prova a sorridere.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nE va bene, se insistete... Sorridiamo.\nChe ve ne pare? Meglio, di quanto pensaste?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nÈ tutto così strano. La regina Lumera non c'è\npiù, il Drago Divino si è risvegliato e ora voi\nsiete accanto a me, lady Lyn.\x0E\x04\x00\x00
