MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nChiedo perdono, Boucheron. Avreste\nun momento, di grazia?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNaturalmente.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nScusate la mia impertinenza...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nPer caso vostro padre è un conte firenese?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nEbbene sì.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nGrandioso! Mi domandavo se, in quanto nobile,\nmi degnereste di un favore.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nIn teoria. Ma che tipo di favore?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nOrdunque, come ben saprete, sono al servizio\ndella principessa ereditaria di Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nOnde evitare imbarazzi alla famiglia reale, mi\nindustrio in ogni guisa di attenermi all'etichetta\ndell'alta società.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nCionondimeno, alcune usanze nobiliari restano\nper me ancora... un mistero, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nPertanto vi chiederei se poteste istruirmi\nriguardo al galateo e alle buone maniere\ndel vostro paese natale!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nCerto, non c'è problema.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パネトネ\nAvete tutta la mia gratitudine!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nAnche io nutro una certa curiosità verso\ni costumi solmici.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nSarebbe interessante fare uno scambio\nculturale. In fondo entrambi siamo al servizio\ndelle rispettive famiglie reali.\x0E\x04\x00\x00
