MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nOh, cosa bevi di buono, Lapis? Ha un ottimo\nprofumo.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nPrincipessa Céline?! Qu-ques- uh...\nÈ un semplice tè... Proprio così.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nPotrei assaggiarlo?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nCosa?! No! Non è adatto a una principessa!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nPerché mai? Non mi sembra avere effetti nocivi,\no almeno non su di te.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nE-Ecco... Veramente, uhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nNon l'ho comprato in un negozio. Ho raccolto\nio le foglie...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nLo hai raccolto tu personalmente?\nMa è fantastico.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nAdesso insisto per assaggiarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nUh... Se p-proprio insistete, ecco a voi...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nOh! È proprio tonificante! Non mi aspettavo\nquesto gusto.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nD-Davvero? Sapete, ho realizzato anche le\ntazzine con le mie mani.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nLe hai fatte tu?! Ma questa fattura così elegante\nfarebbe impallidire certi artigiani che conosco!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nSono davvero colpita. Riesci a fare così\ntante cose da sola.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nGrazie per il complimento, ma davvero, non\nci vuole nulla...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nNon dire così, Lapis. Anzi, mi piacerebbe\nimparare la tecnica, se per te non è un\nproblema. Me la insegneresti?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セリーヌ\nMi interesserebbe imparare quali piante\nraccogliere e come preparare il tè.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nNe sarei onorata. Vi accompagnerò io stessa\nnella foresta e vi insegnerò tutto quello che so.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nEccellente. Sarò un'allieva attenta, lo prometto.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nVediamo... questa pianta è commestibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nPuò essere mangiata così com'è o anche fatta\nessiccare per preparare una tisana.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nInteressante...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\nQueste bacche invece non si possono mangiare,\nma è possibile usarle per fare unguenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nNe vedo spesso in giro, ma non sapevo\nservissero a qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nQuesto muschio invece aiuta a curare le\nscottature.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nPrima va fatto essiccare e poi basta tritarlo e\naggiungere dell'acqua per trasformarlo in un\nunguento.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nIncredibile, quante cose si possono fare!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nSe vi interessa questo genere di cose,\nne avrei molte da insegnarvi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nIo vengo da un villaggio, ehm... normalissimo,\nma ho molti amici che vengono da zone\npovere...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nQuindi ho imparato queste cose grazie a loro...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nAllora dovrei ringraziarli anch'io per tutte le\ncose che ho imparato oggi.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nMa vi serve davvero imparare tutto questo?\nIn fondo siete una principessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nPotete comprare tutto il tè che volete nei\nnegozi, non credo abbiate molte occasioni di\nraccogliere delle foglie selvatiche...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nE anche i medicinali immagino non vi manchino,\nno?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nCerto, normalmente è così. Questo in tempo\ndi pace.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nMa in tempi come questo, non vi sono certezze.\nLe tue conoscenze potrebbero tornarmi utili.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nE sospetto che tu abbia ancora molte cose\nda insegnare, Lapis. Sono pronta a imparare.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nSe è ciò che desiderate, principessa Céline...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nSono pronta a insegnarvi tutto quello che ho\nimparato nei miei anni di esperienza...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nC-Cioè! Dell'esperienza dei miei amici!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nEheh, la prendo come una promessa, allora.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\nDunque... questa pianta va fatta essiccare e\npoi reidratata in acqua prima di ingerirla.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIl muschio invece va fatto seccare e ridotto\nin polvere. Serve a curare il mal di stomaco,\ncredo.\x0E\x04\x00\x00
