MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nFaresti di tutto per tuo fratello, vero? Anche io\nsono molto protettiva nei confronti della mia\nfamiglia.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nMi sento sollevata sapendo che mi comprendi,\nCamilla. Ti ringrazio.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nImmagino sia stato difficile rivoltarti contro tuo\npadre. Io non ne sarei mai stata capace.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nÈ stata una questione di necessità. Dovevo\nproteggere mio fratello. Avresti fatto lo stesso,\nal posto mio.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCon una vita lunga come la tua, avrai occasione\ndi coltivare parecchie amicizie. Non nego che\nun po' ti invidio.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nÈ vero, ma per quanto lunga, anche la mia vita\nha un limite. Ecco perché dobbiamo apprezzare\nogni occasione che ci è data per stare insieme.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カミラ\nAh, la penso proprio come te. E se più avanti\ndovessimo separarci, terrò sempre cari i ricordi\ndel tempo trascorso insieme.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nBen detto. Facciamo un patto: promettiamo di\nricordarci l'una dell'altra per l'eternità.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nラファール\nNel nostro mondo, ti costrinsi a combattere\ncontro la tua volontà. Spero che non sia troppo\ntardi per farmi perdonare.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カミラ\nHai già trascorso fin troppo tempo a\nrammaricartene. Perdonarti è il minimo\nche io possa fare.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nHai bisogno di qualcuno con cui confidarti,\nRafal. Appoggiati pure sulla mia spalla e dimmi\ntutto.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nChe ridicolaggine. La tua spalla non è neanche\ncorporea. E ora che hai da guardare?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nHo notato che tieni gli amici a distanza, per\nquanto loro ti accolgano a braccia aperte.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nHo fatto morire mia sorella. Ho causato\nla distruzione di un intero mondo. Mi sento\nimperdonabile.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06カミラ\nMa i tuoi amici non la pensano così. Non credi\nche meriterebbero un po' di fiducia?\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nForse... hai ragione. Grazie, Camilla. Proverò\na vedere le cose dalla loro prospettiva.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nNon trovi che sia confortante appartenere a un\nesercito così numeroso? Nel mio mondo\neravamo in pochi a combattere.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カミラ\nIn effetti è fantastico essere circondate da tanti\nguerrieri così forti. Perché non andiamo a\nparlargli?\x0E\x04\x00\x00
