MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nGrazie per l'allenamento, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nNon c'è problema. È un piacere trovare\nqualcuno con cui farmi una sana sudata.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nSono content\x0E\x0A\x00\x08\x02o\x02a per te, perché io ho fatto fatica a\nstarti dietro. Ora capisco perché godi di tanto\nrispetto in Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nNon è il caso di essere modest\x0E\x0A\x00\x08\x02o\x02a. Anche voi\nnon ve la cavate malaccio e c'è sempre\noccasione di migliorare.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nForza, abilità, velocità... Avete potenziale.\nContinuate ad allenarvi e vedrete i risultati.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nPuò darsi, ma non posso fare a meno di\ninvidiare l'intensità dei tuoi attacchi. È\nsemplicemente... furiosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nCredi che riuscirò mai a raggiungere quel\nlivello di ferocia?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nBeh...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nSaphir?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\nChiedo scusa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nForse... Non vi conviene cercare di copiare\nil mio modo di combattere.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nLa furia non fa per voi, siete una persona\ntroppo gentile.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nSiate semplicemente voi stess\x0E\x0A\x00\x08\x02o\x02a, e non rinunciate\nalla vostra gentilezza. Non sprecatela.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nHo capito, Saphir. Tutto chiaro.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPer oggi può bastare.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie ancora.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nLa gentilezza che avete nello sguardo, anche\nquando combattete, è così piacevole.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nBah, comunque grazie per il riscaldamento.\nAdesso vado a fare esercizi di potenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nPassi da un allenamento dritta a un altro?\nLa tua energia mi lascia senza parole.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nQuando l'allenamento è l'unica cosa che si ha, è\nnormale dedicarcisi anima e corpo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nIn che senso è "l'unica cosa che hai"?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nDi solito non mi va molto di parlarne, ma se\ninsistete posso spiegarvelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nSono sempre stata forte, anche da bambina.\nMa avevo un'amica che lo era ancora di più.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nSi allenava allo sfinimento per diventare la\ncavaliera più forte del mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nUn giorno l'Elusia attaccò il mio villaggio e la\nmia amica fu uccisa.\x0E\x04\x00\x00
