MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nEheh, siete adorabile quando dormite, Drago\nDivino.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nOh, buongiorno. Vi ho svegliat\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nMi stavi guardando dormire? Di nuovo?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nSì, scusatemi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nQuando mi appisolo mentre sono fuori, dovresti\nlasciarmi in pace.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nMi spavento facilmente se mi sveglio e noto\nqualcuno che mi sta osservando.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nOh, non volevo spaventarvi, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nSiete come il personaggio di una fiaba... Avete\ndormito un sonno di mille anni.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nIl vostro sonno è così celestiale che non posso\nfare a meno di ammirarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nCerto, capisco, ma non deve essere stato un\nbello spettacolo vedermi ronfare qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nMa no! Cosa dite!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nSentite un po', forse ho trovato un buon\ncompromesso.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クロエ\nSe vi abituate a vedermi ogni volta che vi\nsvegliate, forse non vi spaventerete più.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nBasterà aggiungere un altro letto nella vostra\nstanza.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEh no! Assolutamente no!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クロエ\nOh, peccato...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nIl vostro sonno è durato mille anni.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nE al vostro risveglio siete stat\x0E\x0A\x00\x08\x02o\x02a scaraventat\x0E\x0A\x00\x08\x02o\x02a\nnella lotta contro le forze del male.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nPraticamente siete il ritratto fatto e finito\ndell'ero\x0E\x0A\x00\x0C\x02e\x06ina di una fiaba!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nEhm... Trovi?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nOh, sì. Non si incontrano tutti i giorni persone\nstraordinarie come voi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nLa vostra non è una vita ordinaria. Siete\ndestinat\x0E\x0A\x00\x08\x02o\x02a a grandi cose!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nOh, come vorrei essere al vostro posto...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nNon saprei...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nEh? Come mai dite così?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nNon mi rammarico per la vita che mi è capitata,\nma ammetto di avere molti pesi sulle spalle.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nCerto, hai ragione... Non c'è nulla di ordinario\nnella mia vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nMa a volte l'ordinario non mi sembra poi così\nmale.\x0E\x04\x00\x00
