MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nCombatto per salvare il mondo che amava\nmia madre. Ma ho bisogno del tuo aiuto, Leif.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06リーフ\nSe è la pace a cui agogni, la mia spada è a tua\ndisposizione!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nÈ dura vivere con il pensiero che mia madre\nmi amava così tanto, ma io non potrò mai\nripagare la sua gentilezza...\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06リーフ\nDai voce a questi sentimenti. Da qualche parte\ntua madre ti ascolta, ne sono sicuro.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nLeif, secondo te sto facendo abbastanza?\nHo sempre paura di deludere tutti.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06リーフ\nNon è facile dover fare tutto da sol\x0E\x0A\x00\x08\x02o\x02a.\nConcentrati sulle tue qualità, non sui difetti.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nSulle mie qualità?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06リーフ\nLa gente crede in te. Ti segue. Mostra loro\nuna strada verso la pace e ti seguiranno.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSer Leif, potreste offrire la vostra guida al Drago\nDivino? Ritengo ne abbia bisogno.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06リーフ\nNon preoccuparti. Farò del mio meglio per\naiutarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nCi sono dei momenti in cui il comportamento\nazzardato del Drago Divino mi spaventa.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06リーフ\nÈ comprensibile, ma il pericolo è parte della vita.\nSta a noi tenere a bada questi rischi.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nMi ricordi un po' un mio vecchio amico.\nPurtroppo, perse la vita per colpa delle mie\ndisattenzioni.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x08\x06リーフ\nAveva sacrificato tutto quello che aveva per\nsupportarmi. E io non ho potuto fare nulla\nper lui...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nNon lo conosco, ma scommetto che era\norgoglioso di essere al vostro fianco.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nAvere qualcuno nella tua vita che è al contempo\npadrone e amico? È davvero una rara fortuna.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Leif, potresti consigliarmi come diventare\nqualcuno su cui il Drago Divino può fare\naffidamento?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06リーフ\nCredo che, a questo proposito, tu abbia da\ninsegnarmi più di quanto abbia io da offrirti.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nClanne, vedo che sei indaffarato come tuo\nsolito. Ti impegni così tanto per il Drago Divino?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nSì! C'è molto da fare per assicurarsi che possa\nriposare!\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nHo sentito Framme usare la parola "venerabile".\nImmagino sia più di "amabile", vero?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nSì, è così... È più di "amabile".\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nSignifica che qualcuno è rispettabile per\nla sua grande saggezza.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06リーフ\nHo capito. È una parola carica di significato.\nProverò a usarla anch'io.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nSembri molto concentrata. Cosa ti tiene\ncosì impegnata?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nSto preparando degli abiti in onore del Drago\nDivino!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nTi stai di nuovo allenando anche oggi, Framme?\nSei davvero instancabile, complimenti!\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nVoglio essere in forma perfetta per pregare\nal meglio il Drago Divino! Le mie preghiere\nsono molto atletiche.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06フラン\nVa bene, adesso ci mettiamo a quell'angolo\ne aspettiamo che passi il Drago Divino...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nSì, da qui abbiamo una vista perfetta.\nMa avrà senso portarti con me?!\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06リーフ\nMa certo! Te l'ho chiesto io, ricordi? Mi piace\nsaperne di più sul tuo originale stile di\npreghiera.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06リーフ\nOh, sta arrivando! Andiamo, Framme. Questa è\nla posizione migliore per vederl\x0E\x0A\x00\x08\x02o\x02a, sei d'accordo?\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nE così finisce un'altra intensa sessione\ndi allenamento mattutino!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06リーフ\nDevi essere molto motivato per iniziare ad\nallenarti così di prima mattina! Devo seguire\nil tuo esempio.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nPerché ti fissi così intensamente il braccio,\nAlfred?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi sto solo controllando il corpo. I miei pettorali\ndicono che stanno bene. E tu come stai, Leif?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNon sembra, ma da bambino ero di salute\ncagionevole. Mia madre era sempre preoccupata\nper la mia salute.\x0E\x04\x00\x00
