MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nGrazie per il permesso di allenarmi con voi,\nDiamant. Significa molto per me.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNaturale, siamo fratelli. Se non ci azzuffassimo\nogni tanto, non sarebbe normale.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nTemo che non sarò all'altezza... Le mie scarne\nabilità non sono nulla in confronto alle vostre,\nma cercherò di imparare qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTutti abbiamo punti di forza e debolezze.\nButtarsi giù è una tua cattiva abitudine.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nNon mi sto buttando giù, è la verità. Che\nsperanze avrei di battere il principe di Brodia?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nAnche tu sei un principe di Brodia, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nSì, sono un principe brodiano, ma non il principe\ndi Brodia. Non sarò mai come voi, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nNon è l'atteggiamento giusto. Fai sempre così\nanche quando non ci sono?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nVedi di lasciare quella tua mancanza di\nsicurezza fuori dal campo di battaglia.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nLà fuori è pieno di nemici più forti di te. Non\noffrire le tue debolezze su un piatto d'argento.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nVa bene, Diamant... Ho capito.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nDevi entrare nell'ottica giusta per combattere.\nConcentriamoci sui tuoi punti di forza.\x0E\x04\x00\x00
