MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nミスティラ\nGuarda un po' chi si vede... Fogado, il mio\nunico fratellino... eheh!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nIn carne e ossa. Vuoi spiegarmi come mai sei\ncosì di buon umore?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nOh, nessun motivo in particolare.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nDavvero? Strano che non ci sia in ballo\nuna canzone o una bella bistecca.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nComunque sono contento di vederti allegra.\nRiesci a mettere di buon umore anche me.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nE meno male! Perché non potrei essere più\nfelice di così!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nDai, dimmi il motivo. Dillo al tuo fratellino.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nBeh, detto tra noi...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nIl motivo è che TU SEI QUI!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nTutto qua? Io sono sempre qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nOho! Non direi proprio.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nDevo ammettere che in Solm anche io ero\nspesso fuori dal castello. Ma tu?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nTu non c'eri proprio mai! Non passavamo\nmai un po' di tempo insieme.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nCome darti torto.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nAdesso non è che le circostanze siano le\nmigliori, ma almeno riesco a vederti ogni giorno.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nRiesci a vedere tutto sotto una luce positiva.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nSiamo nel bel mezzo di una guerra, e la fai\nsembrare come una vacanza in famiglia.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nE sarebbe un problema?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nフォガート\nAssolutamente no. Come ho già detto, sono\ncontento se sei contenta tu.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nSenti, dobbiamo parlare.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nChe c'è, Fogado? Sembri giù di morale.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nSì, beh... devo chiederti scusa.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nLo sapevo! Hai rubato tu le mie costolette!\nLe conservavo per lo spuntino di stanotte!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nCosa? Non lo farei mai! So bene quanto ci tieni\nal tuo spuntino!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nE poi cos'è questa storia? Non ti fidi di tuo\nfratello?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nAhahah! Scusa, scusa. Sono di cattivo umore\nquando mi sveglio affamata.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nMa tu di cosa volevi scusarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nHo ripensato a quello che mi hai detto.\nAl fatto che non ero mai al castello.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nPensavo che un popolo dallo spirito libero\navesse bisogno di uno spirito libero per principe.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nMa ora ho capito che ci ha impedito di stare più\ntempo insieme. Cercherò di riparare in futuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nAscolta, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nQuesta storia dello spirito libero non è tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nQuando non eri al castello studiavi il territorio,\nti preparavi per la prossima crisi, non è vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nIn modo da essere pronto a consigliarmi nel\nmigliore dei modi, in caso di pericolo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nAhahah. Allora sapevi tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nBeh, siamo fratello e sorella, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nSo tuuuuuutto quello che passa per la tua\ntestolina!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nApprezzo molto quello che fai per me. Sei il\nmiglior fratello che mi potesse capitare.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nSiamo una famiglia... è normale che ci\nproteggiamo a vicenda.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nA essere onesta... a volte, ecco, vorrei che\nnon mi proteggessi.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\nVorrei che passassi semplicemente del tempo\ncon me, capisci?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nCome adesso... adesso è perfetto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nTimerra! Ho risolto!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nEh? C'era qualcosa da risolvere? Che mi sono\npersa?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nPrendi, ecco! Ho passato tutta la notte a\nconfezionarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nUna bambola?! Ma perché... un momento!\nNon ci posso credere.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nQuesto SEI TU! È un pupazzo con le tue\nfattezze!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nRisposta esatta!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nCosì staremo sempre insieme e non ti sentirai\nmai più sola.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nAnche quando non sarò al castello, potrai\ntenermi sempre al tuo fianco.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nQuesto pupazzo ti proteggerà al posto mio.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nMa che cosa dici?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nNon sono una bambina. Da cosa vuoi che mi\nprotegga un pupazzo? Dai soldatini nemici?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nMa...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nE poi non ti assomiglia per niente!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nCi vuole un bel po' di immaginazione per\nilludermi che questo sia tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nHo fatto tanta fatica per crearlo...\nNon ti sembra spavaldo come me?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nNo, proprio per niente. Mi dispiace, ma non\nhai altra scelta.\x0E\x04\x00\x00
