MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nFatto. Ora bisogna solo impacchettare questi e\nmetterli via.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nSalve. Hai bisogno di aiuto?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nGrazie, lord Rafal, ma non serve.\nHo già sistemato tutti gli strumenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nDevi ancora sistemare le armi, no?\nMagari posso aiutarti con quelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nNon dovete disturbarvi.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Piuttosto, posso esservi io d'aiuto?\nSembrate avere dei pensieri.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nStavo solo cercando di essere cortese, ma il mio\nintento mi si è ritorto contro. Non volevo\nattirare l'attenzione su di me.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nNon dite così. Per me è un piacere aiutarvi\nad abituarvi al nuovo mondo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nラファール\nPer adesso non ho bisogno di aiuto.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nBene, se le cose dovessero cambiare, sapete\ndove trovarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nLa stessa offerta vale per te. So che tendi\na sobbarcarti di eccessivo lavoro.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Riposati un po' ogni tanto.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nGrazie per il vostro interessamento.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nAltri tre viaggi dovrebbero bastare.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nLavoro di fatica, eh?\nServe una mano?\x0E\x04\x00\x00
