MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nNon mi interessa giocare al vostro gioco,\nZelkov. Ditemi cosa volete e facciamola finita.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nPerché Yunaka, a quale *gioco* starei\ngiocando?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nA spiarmi, si direbbe. Non vorrete fare finta\ndi niente, adesso?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nAllora te ne sei accorta... *Curioso*.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nHai il sesto senso di un *cacciatore*. Per\ncaso pratichi la caccia per sport... o per denaro?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nLa verità è *scritta* sul tuo volto. Sospettavo\nche i tuoi affari nascondessero una storia di\nviolenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nEcco perché ti ho *spiata*, come dici tu.\nLe persone sospette vanno osservate.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nE va bene, lo ammetto. Ci hai preso.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nOra che ne dici se entrambi svuotiamo il sacco?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMh, comincia tu.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nHai lo stesso istinto omicida che ho io.\nSi vede come ti trasuda da tutti i pori.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nDimmi, per caso abbiamo avuto carriere\nsimili?\x0E\x04\x00\x00
