MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nChloé! Senti qua! Ho scoperto una cosa\ninteressantissima!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nCos'è tutta questa foga?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nImmagino tu conosca la fonte dell'eterna\ngiovinezza. Ne parlano sempre nelle fiabe\nche ti piacciono tanto!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nCerto, quelle sono le storie migliori. Ma perché\nme lo dici?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nEheheh.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nTieniti forte, Chloé! Ho messo mano su una\nmappa che ne indica l'esatta posizione!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nWow... Sembra incredibile!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クロエ\nSoprattutto considerato che la fonte dell'eterna\ngiovinezza non esiste. Come farebbe a trovarsi\nsu una mappa?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nEsatto! Ecco perché è incredibile!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nSe non esiste, allora perché possiedo una mappa\nche ne mostra l'esatta ubicazione?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nQuindi avrei un favore da chiederti, Chloé.\nVerresti a cercarla con me?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nSei esperta di fiabe, sono sicuro che con te\nla troverò di sicuro!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nD'accordo, verrò.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nMagari strada facendo, vedremo dei bei\npaesaggi fiabeschi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nAccetti?! Oh, grazie, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nPartiamo a cercare la fonte leggendaria!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x08\x06クロエ\nLa fonte è adorabile, con quell'acqua così\nfresca...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nGià... Certo...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nPeccato che non sia la fonte dell'eterna\ngiovinezza!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nAhah, non importa, dai.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nSiamo già giovani, una fonte normale andrà\nbenissimo lo stesso.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nNon è questo il punto!!! Io volevo la fonte\ndell'eterna giovinezza!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nQuella mappa era un falso... Che stupido che\nsono stato!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nOh, non buttarti giù, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nCome mai non sei triste, Chloé?!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nPerché anche se non è la fonte leggendaria,\nsono contenta ugualmente di aver visitato\nun posticino così carino.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nÈ talmente bella che non mi stupirei se le\nfiabe si fossero ispirate proprio a questa fonte!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nMh, non metto in dubbio sia un bel posto...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nE allora non essere triste. E poi ho portato\nqualcosa di buono da mangiare, mentre\nammiriamo il panorama.\x0E\x04\x00\x00
