MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNhg! Guah! Puff!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nBuongiorno, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nSalve, Céline!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nTi stai allenando, a quanto pare. Ma è la prima\nvolta che ti vedo con una pala.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nQuella buca è piuttosto profonda. Non pensi\nche potrebbe essere pericolosa per gli altri?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa no, Céline. Non è un allenamento!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nE la buca non è profonda abbastanza, semmai!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nGah! Ghhh!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nSi potrebbe sapere il motivo di tutto questo?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nStamattina ho sentito che in cucina si\nlamentavano perché non c'è abbastanza acqua.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nCosì ho deciso di scavare un pozzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nUn pozzo?!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAlfred, se manca acqua possiamo sempre\nprenderla dal fiume qua vicino.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nCome ti è passato per la testa di scavare un\npozzo?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nSai cosa? Hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nOra cerco un secchio e faccio un salto al fiume.\nGrazie per il consiglio, Céline!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSigh, non cambia mai.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セリーヌ\nCon il carattere irruento che ha, dovrebbe\nvestirsi di pellicce come un barbaro!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSai cosa sei, Alfred?\nUn barbaro travestito da principe.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nAhah! Che belle parole. Grazie, Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nE per te sarebbe un complimento?!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nVolevi dire che sono muscoloso come\nun barbaro, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nSo che lo dici perché sono tuo fratello, ma fa\ncomunque piacere.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nGuarda che hai frainteso!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nEhi, ehi... Tranquilla, Céline.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nAllora cosa volevi dire?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nAppena hai saputo che mancava acqua, ti sei\nmesso a scavare un pozzo!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh sì! Un po' di movimento! Che fatica però!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nE non è l'unico esempio.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nChe mi dici di quella volta che i soldati volevano\nfarsi un bagno?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nTi precipitasti a scavare una vasca termale!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nChe c'è? Non ti piacciono le terme?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nNon è questo il punto. Si può sapere perché\nil tuo primo impulso è sempre scavare buche?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nBeh, è un buon modo per usare i muscoli!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nLasciamo perdere!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nUn carattere così impetuoso come il tuo è\ndecisamente barbarico.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nNon sarebbe un problema per un uomo comune,\nma tu sei un principe. Comportati da tale.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nCapisco perfettamente cosa vuoi dire, Céline.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nD'ora in avanti mi allenerò ancora di più! Non\nsalterò neanche un giorno!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nPresto sarò così muscoloso che chiunque potrà\nvedere da subito che sono un barbaro.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nE non ci sarà più nessuna confusione!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セリーヌ\nUgh! Ci risiamo, non hai capito niente!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGhhhh!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nChe fai di bello, Alfred? Scavi un altro pozzo?\nO ti stai allenando?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nPiù o meno. Sto cercando di mantenermi in\nsalute, sai.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nSe mi alleno abbastanza... ngh... smetterò di\nsoffrire...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nAlfred?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nChe succede?!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon è niente, Céline... Solo un attacco.\nPassa in fretta... Ugh!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\nUn attacco? Sei di nuovo malato?!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nStavo meglio... Quella parte della mia vita\nsembrava ormai alle spalle...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nAspettami qui. Vado a cercare aiuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo. Ferma!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nPerché non vuoi che vada?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon voglio che nessuno mi veda così. Né gli\nalleati, né gli emblemi, né il Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon voglio che mi pensino debole... Un principe\nche potrebbe collassare da un giorno all'altro...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nNon si permetterebbero mai di giudicarti. Non\nsono quel tipo di persone, lo sai!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa io saprei lo stesso di essere debole.\nE comunque non voglio dare loro\npreoccupazioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nAi loro occhi preferisco rimanere il principe\nvivace che ama allenarsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nFammi riposare un po'. Vedrai che mi passa,\nCéline.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nSigh, e va bene. Ma se le tue condizioni\npeggiorano, andrò a cercare aiuto. Sappilo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvere una sorella come te è l'essenza della\nfelicità.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nL'essenza della felicità? Non esageriamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nA proposito, cos'è che ti rende felice?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nNiente.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nStai scherzando? Hai tanti amici, sei in salute...\ne non sei felice?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セリーヌ\nSono cose che mi danno gioia, certo. Ma non\ncredo nella felicità come ideale in sé.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nE comunque, se anche la trovassi?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nPasserei il resto della mia vita ancorata al\nricordo di quel momento.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa dai! E se poi arrivasse qualcosa di ancora\nmeglio?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08セリーヌ\nIl pensiero che non arrivi è spaventoso.\nNon ce la farei a sopportarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08セリーヌ\nDove ho cercato la felicità, ho trovato miseria.\nCome quando sono scappata dal castello.\x0E\x04\x00\x00
