MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nブシュロン\nGh... Sniff.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nOhibò. Cosa mai ti avrà fatto scoppiare\nin lacrime?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nOh, ecco, ho trovato questo libro.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nSolo che era così commovente che non ho\npotuto trattenere le lacrime. E quando comincio\nnon sono uno che si ferma facilmente.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nÈ una tragedia? Racconta un po'.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nÈ la storia di un saggio di nome "L".\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nAh! E che mi puoi dire di questo "L"?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nIl libro inizia quando il protagonista frequenta\nun'accademia in Elusia. Naturalmente è\nil migliore della classe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nPoi fa carriera come soldato reale e diventa\naddirittura l'attendente del principe.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nMh-Mh... Ti seguo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nIl principe è anche l'erede al trono, ma è\nun'altra persona a essere scelta come\nnuovo sovrano.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nIl principe, in collera, se ne va dal castello,\nmentre L lo osserva impotente.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nE poi non so cosa succede dopo, ero troppo\ntriste per andare avanti.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nSu, su. Tieni, asciugati quelle lacrime.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nGrazie, ser Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nDi solito quasi tutti i libri hanno questo effetto\nsu di me, ma questo più degli altri.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nIl principe così amareggiato... e il protagonista\nche può solo osservarlo mentre se ne va... Che\nsituazione tragica.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nOra questo libro mi incuriosisce. Raccontami\naltro, se ti capita di leggere ancora.\x0E\x04\x00\x00
