MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nPrincipe Alcryst. Avevi bisogno di qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nMh.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nE così mi ignori... Capisco.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nMi rifiuto di perdonarvi. E sapete benissimo\nil motivo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nCome dovrei comportarmi di fronte a qualcuno\nche ha collaborato all'assassinio di mio padre?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nChiedo perdono per aver partecipato\nall'assassinio di tuo padre.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nD-Davvero?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nSo che delle scuse non hanno il potere di fare\nmolto...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nCionondimeno, ora siamo alleati.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nRitengo sia importante trovare un terreno\ncomune e incontrarci a metà strada.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nUh...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nPerciò ho deciso di fare io questo importante\nprimo passo...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nMi dispiace tanto per tuo padre.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Ivy...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nUn tempo temevo la vostra famiglia e il\nvostro paese. Non mi sarei neanche mai\nsognato che saremmo diventati alleati.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nLa vita è imprevedibile...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nCi spinge avanti, anche se non siamo pronti.\nI pregiudizi del passato sarebbero solo di\nintralcio.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nFarò del mio meglio per trovare quel terreno\ncomune di cui parlate.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アイビー\nTi ringrazio. E sappi che è da maleducati\nlanciare occhiate furtive al proprio interlocutore.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0C\nスタルーク\nAhhh! Chiedo scusa! Non succederà più.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0A\x08アイビー\nSe non altro guardiamo nella stessa direzione.\nChissà, magari ci attendono tempi migliori...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Ivy? Mi state lanciando delle...\nocchiatacce, per caso?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nNo, principe Alcryst, per lo meno non apposta.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nNon riesco a distogliere lo sguardo dalla tua\narmatura.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nIn Elusia impariamo sin da giovani a guardarci\nbene dalle armature brodiane.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nOooh. Forse ho capito...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nLa Brodia ha invaso l'Elusia un'enormità di\nvolte. Il mio paese ha molte risposte da dare.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nPer quel che può servire... mi dispiace.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nCosa intendi dire, esattamente?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nUh? C-Che-\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nSono delle scuse formali da parte del regno di\nBrodia per le continue invasioni della nostra\nterra?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nStai forse ammettendo i vostri errori e ti\nimpegni ad adottare una politica estera più\npacifica in futuro?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nI rapporti tra due nazioni non vanno presi alla\nleggera.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nM-Ma io n-\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nVolevo solo dire che, se la Brodia ha sbagliato,\nallora dovremmo assolutamente scusarci...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nMa non sta a me porgere le scuse! Il re e\nla nobiltà dovrebbero riunirsi e accordarsi...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nQuindi le scuse di prima venivano da me in\nquanto persona e non come... rappresentante...\nuhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nIhih. Lo so. Stavo scherzando.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOooh, principessa Ivy... Mi mettete in\nimbarazzo...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nIl mio odio verso la Brodia è acqua passata, ma\nnon ho resistito a prenderti un po' in giro.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nAlmeno ora siamo abbastanza in confidenza da\nscherzare! Spero tu sia d'accordo su questo...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nS-Sì, certo! Il mio cuore ha quasi smesso di\nbattere, ma... non nego che fosse divertente...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\nChiedo scusa, principessa Ivy...\x0E\x04\x00\x00
