MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nPant pant... basta correre per oggi.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nTi dai da fare, eh Etie?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nAh, sei tu! Che ci fai qui?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nHo preparato qualcosa per il dopo allenamento.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nChe c'è nel barattolo?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nSottaceti fatti in casa. Sono un toccasana\nper recuperare le energie dopo gli allenamenti!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nProvane uno.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nPerché no, grazie.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nEhi, non è male! Neanche troppo aspro.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nSono contento di averci preso!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nSo che tieni molto al tuo corpo, quindi ti ho\nportato una cosa buona e salutare.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nLi hai fatti apposta per me?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nSì! E non è tutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nCi ho persino dormito insieme. Come\nuna chioccia con le uova.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nSul serio? È una cosa bizzarra ma... tenera.\nSei un tesoro, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nPuoi tenere tutto il barattolo e se ne vuoi\nancora, ti basta dirmelo!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nエーティエ\nLo farò sicuramente! Grazie per aver\nilluminato la mia giornata!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEccoti qua, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nMi stavi cercando? Hai finito i sottaceti?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nMi vergogno a dirlo, ma in effetti sì.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nChe velocità.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nHo notato che ci hai dato dentro con gli\nallenamenti, sapevo che sarebbero durati poco.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nNon ti sfugge proprio niente, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nEheh... non è niente di che, cerco di fare il\npossibile per i nostri instancabili guerrieri.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nQuei sottaceti sono fantastici. Di solito, dopo\nl'allenamento avevo sempre i muscoli\ndoloranti...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nMa da quando mangio i tuoi sottaceti, non\nho più avuto quel problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nE poi sono buonissimi anche di sapore!\nNon riuscivo a staccarmi dal barattolo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\nDici sul serio? Non sai quanto sono felice di\nsentirtelo dire! Sarò lieto di preparartene\ndegli altri!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nNon è un problema, vero? Mi faresti davvero\nun gran piacere!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nC'è qualche verdura in particolare che vuoi?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nI sottaceti si possono fare davvero con\nqualsiasi cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nUhm... non mi viene in mente niente sul\nmomento... mi affido a te, va bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nD'altra parte, mi hai osservata attentamente\ne conosci i miei gusti meglio di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nAhahah! Hai ragione, allora non preoccuparti,\nprenderò le verdure perfette per te!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nNon ho dubbi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x08\x06クラン\nCiao, Etie. I nuovi sottaceti sono pronti.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nQuesta volta ho usato tre verdure diverse.\nSolo che...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\nC'è qualcosa che non va?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nNon mi sono venuti tanto bene, mi dispiace.\nNon vorrei nemmeno darteli.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nPensavo che quelle verdure stessero bene\ninsieme, invece no. Dovrò rifare tutto da capo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nエーティエ\nNon ti preoccupare, Clanne. Il sapore non\nè così importante per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nEh? Perché?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nI tuoi sottaceti erano buonissimi, ma soprattutto\nho apprezzato l'affetto che ci hai messo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nNon erano sottaceti a caso... erano fatti apposta\nper me.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nVolevi preparare qualcosa che si adattasse\nal mio gusto personale.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nI tuoi sottaceti non alleviano solo la fatica\ndei miei muscoli.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nAlleggeriscono anche il peso della mia anima.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nQuindi non preoccuparti per il sapore, non\nvedo l'ora di mangiarli.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nEtie... grazie per le belle parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nUhm. Quello era il tuo stomaco che brontolava?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nL'hai sentito, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nAllora quando hai detto che il sapore non è\nun problema, era il tuo cuore a parlare...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\n... o il tuo stomaco?\x0E\x04\x00\x00
