MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nAllora, principe Alcryst! Vi è piaciuta la vostra\nprima festa?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nCome ho potuto... illudermi di potercela fare?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nMh. Capisco che un'intera nottata fuori possa\nessere un po' pesante per qualcuno alle prime\narmi come voi...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nLa musica era troppo forte! E come se non\nbastasse tutti urlavano! E le danze... le DANZE!\nUrgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nSembrava una scena uscita da un incubo.\nNon avrei dovuto accettare l'invito. Non ero\npronto, chiaramente...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nUahahah. Gran bella festa, però.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nPandreo, vi scongiuro... Non penso che potrò\nmai più rifare una cosa simile. Le feste non\nfanno per me.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nNon dite così, non è il caso di giungere a\nconclusioni affrettate.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nVi ho visto come ve ne stavate in disparte a\nosservare la scena.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nMa per fare un'esperienza completa, bisogna\ntuffarsi nella mischia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nLa prossima volta vi trascinerò lì in mezzo, non\nvi lascerò nel vostro angolino.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nLa prossima volta?! No, non ci sarà! Non\nposso.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nMa perché? Mi assicurerò personalmente che\nvi divertiate.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nLasciate fare a me! Auuuuh!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nC-Certamente. Auuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nMi fischiano le orecchie... le gambe non mi\nreggono... Comincio a pentirmi delle mie scelte...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nPerché? Perché ho di nuovo accettato? Sapevo\ngià che mi sarei trovato a disagio...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAuuuh!\x0E\x04\x00\x00
