MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nEhi, Vander! Dove tieni le armi leggendarie?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nArmi leggendarie? Di che stai parlando, Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nHo sempre sognato un'arma leggendaria.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nNel Somniel ci sono un sacco di luoghi sacri.\nIn uno di essi ci sarà sicuramente una spada\no qualcosa del genere...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nNon perdo tempo con le leggende e altre\ncorbellerie.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nCapisco... allora darò un'occhiata in giro per\nvedere se trovo qualcosa...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nA dire il vero, conosco un modo sicuro per\nottenere un'arma leggendaria.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nDavvero?! Di che si tratta? Dimmi tutto, Vander!\nTi prego!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nPensaci bene. Cos'è in fondo un'arma\nleggendaria?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nEh?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nPerché una spada diventi leggendaria, deve\nessere brandita da un eroe leggendario, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nUhm... ha senso quello che dici...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nE dunque, ser Amber... non ti resta che\nguadagnarti l'epiteto di eroe leggendario.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nUn eroe leggendario? Io?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nM-Ma certo! Così mi basterebbe brandire la mia\nlancia fidata...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nPer farla diventare un'arma leggendaria,\nproprio così.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nMITICOOO!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nVander! Sei un grande! È proprio quello che\nfarò! La mia leggenda comincia oggi!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nAnf... Pant...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nCosì non basta... devo allenarmi... più\nduramente!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nMa che bello vederti faticare sin dal primo\nmattino, ser Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nPuoi scommetterci, voglio diventare il più\nforte possibile!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nDevo diventare una leggenda, come hai detto tu!\nCosì la mia lancia sarà un'arma leggendaria!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nHa preso seriamente la mia strigliata?\nO è un vero eroe, o un grande stupido...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nEh? Hai detto qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nEhm... mi stavo solo chiedendo come mai\ndesideri tanto un'arma leggendaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nSono cresciuto in un paesino noioso, senza\nniente da vedere e da fare. I racconti erano\nla mia unica via di fuga.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nIl mio preferito era quello di un cavaliere che\nsconfiggeva un mostro gigante con un'arma\nleggendaria...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nUhm.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nCi penso sempre, a quella storia. Anche io\nvoglio diventare un eroe, e per questo mi\nserve un'arma leggendaria!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nCapisco... se ci tieni davvero tanto, perché\nnon vieni ad allenarti con me?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nDavvero? Dici sul serio? Mi piacerebbe tanto!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nSei così forte e tosto... scommetto che fai\ndegli allenamenti pazzeschi.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nMpf... tu cerca solo di starmi dietro, perché non\nci andrò leggero con te, "eroe".\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nAnf... Pant...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nGià non ce la fai più, eroe? Questo era solo il\nriscaldamento, non abbiamo neanche iniziato a\nfare sul serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nSto morendo, Vander... Ci vai sempre così\npesante?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nVorrei ben vedere.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nIncredibile... faccio fatica a starti dietro!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nTutto qua? Dov'è finito il tuo entusiasmo?\nPensavo volessi diventare una leggenda!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nSono... troppo debole per risponderti...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nSe questo allenamento per te è normale, vuol\ndire che sei già una leggenda. Posso avere la\ntua arma, Vander?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nNo, come ti ho detto non mi interessano le\nleggende e non voglio diventarne una. Tuttavia...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nVedo che la tua generazione ce la sta mettendo\ntutta per migliorare il mondo. E questo è degno\ndi una leggenda.\x0E\x04\x00\x00
