MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nLalalà...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nGaaaaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nEhi! Seadall, che ti urli?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nI nostri patti non erano questi, principessa\nTimerra! State infrangendo la promessa!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nDi che promessa parli?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nAvevate promesso di non arrostire carne\nnei miei dintorni.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nE invece guardate qua! Sentite che odore!\nE il sapore sarà di sicuro travolgente! Me\nl'avevate promesso.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nAaah, ora che me lo dici mi ricordo qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nTipo... che i sapori forti sono una grande\ndistrazione? E la mia carne arrosto in\nparticolare?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nAvevate giurato di non cucinare le vostre\npietanze vicino a me e invece eccovi qui\ncon la vostra carne!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nFaccio sempre un'attenta selezione di ciò che\nmangio per poter danzare al meglio e adesso\nho solo voglia di fare una scorpacciata!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nMa prego, serviti pure!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nAaaargh!!!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nSpiriti delle carte, gettate la vostra luce divina\nsu di me e liberatemi da questa trappola\ndemoniaca!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nDemoniaca? Volevo solo essere gentile!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nSe ti dà tanto fastidio, perché non te ne vai\ntu e mi lasci mangiare in pace?\x0E\x04\x00\x00
