MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh, Rosado. Era destino.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nLo so. Doveva succedere.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nL'ultima cosa che vorrei è battermi contro\nun'amica, ma al fato non si sfugge.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nEsatto. Non abbiamo scelta se non prendere\nparte a questo scontro!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nForza, cominciamo!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nTosto contro carino! Due stili a confronto!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nChi vincerà?!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nLa tostaggine fatta persona, contro la\nquintessenza della bellezza.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nIl fato ci ha fatto conoscere, ma ora sta a noi\ndecidere lo stile migliore.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nEcco come faremo...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nTu mi porterai qualcosa di carino, e io ti porterò\nqualcosa di tosto. Poi faremo il confronto.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nCi mostreremo gli oggetti a vicenda e chi si\ncommuove prima... perde!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nAggiudicato. Ti porterò la cosa più carina che\ntu abbia mai visto. Non potrai resistere.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nNon cantare vittoria tanto presto. Rimarrai\nestasiato di fronte alla cosa più tosta che ci sia!\x0E\x04\x00\x00
