MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n♪ Mh-mh mh mmmh, mh-mh mmmh. ♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nStasera stai provando la coreografia, Seadall?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nAh, Drago Divino...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nNon sto provando, è un vero spettacolo.\nHo un pubblico davanti a me stasera, in fondo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nMa io non vedo nessuno qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nC'è la luna.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nLa luna?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nSì. Quella luce argentea nel cielo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nE le stelle, non dimentichiamo le stelle. Questa\nsera danzo per loro.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nDrago Divino, sapevate che quando qualcuno\nmuore, abbandona le spoglie mortali per\ndiventare una stella nel cielo?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nIl mio maestro è lassù.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nAh. Mi spiace. È morto?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nGià. Questi erano i suoi passi di danza preferiti.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\n♪ Mh mmmh, mh mh mmmh ♪\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nBellissimi, Seadall. Ogni movimento che fai...\nè incantevole.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nRinuncio a tanti piaceri della vita, per ballare\ncosì.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nNon è una passeggiata. Devo allenarmi ogni\ngiorno e fare attenzione a tenermi in forma.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nLe mie abilità sono rinomate in Solm.\nTrascuratezza e mediocrità mi sono estranee.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nCome sei disciplinato, Seadall. Ti ammiro.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nC'è qualcosa in te che sembra provenire da un\naltro mondo... qualcosa a cui forse non dovrei\navvicinarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08セアダス\nPosso riprendere a ballare?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08リュール\nOh... Ma certo! Scusa ancora se ti ho distratto.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nSpiriti delle carte! Luna e stelle! Gettate\nla vostra luce divina su di me e rispondete al\nmio quesito!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nSeadall? Chissà cosa vuole scoprire con così\ntanta foga...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nVi scongiuro, rispondete... Questo cibo è quello\nadatto o è meglio qualcos'altro?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nVorrei qualcosa di gustoso, non solo nutriente!\nVi prego, Spiriti delle carte!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nAh! Non è la risposta che volevo!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nMa che...?! Sembra completamente un'altra\npersona rispetto a prima.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nTorna in te, Seadall!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nDrago Divino!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nNon so cosa stia succedendo, ma non sembri\npiù in te. Qualcosa... di gustoso?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nState cercando di dirmi che questo cibo mi\ndarà la giusta energia per ballare?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nMa è fritto nel burro e ricoperto di una salsa\nall'olio... Mmmh... delizioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nOh, ne ho mangiato uno anch'io. In effetti era\nbuono davvero. Penso che possa darti energia\nin abbondanza, questo è poco ma sicuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nNon è che ve lo state inventando?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nBeh... ecco...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nForse stavate solo tirando a indovinare?\nSarà meglio consultare le carte!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nEro convint\x0E\x0A\x00\x08\x02o\x02a di quello che ho detto!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nFai tanto di quel movimento, che ti meriti del\ncarburante... e se è gustoso, tanto meglio!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nMa voi non capite. Un ballerino del mio calibro\nnon può permettersi sregolatezze.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nIl mio corpo è la mia arma. Sul campo di\nbattaglia devo essere di ispirazione per tutti\ne per farlo mi serve del cibo sano.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nSe non facessi attenzione e, sbagliando\nqualche passo, causassi la morte di qualcuno...\nnon potrei mai perdonarmelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nSeadall, mi dispiace...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nMi sa che è meglio se mi ritiro nel mio negozio\na mangiare qualcosa di non unto e fritto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08リュール\nOra ascoltami, per favore. Penso che la tua\ndanza sia perfetta, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nE se anche ti godi la vita ogni tanto, non vuol\ndire che sarà meno perfetta.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nPerché dite così?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nLo so che se danzi così bene è grazie a tutto il\nlavoro e la disciplina che ci sono dietro.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nMa pretendi troppo da te stesso. Se mangi solo\nper darti energia, non potrai goderti i sapori\ndella vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nI sapori... della vita?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nLa gioia è qualcosa che traspare dall'interno\ne dovrebbe permeare la tua danza, non trovi?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nVederti ballare al chiaro di luna per chi non c'è\npiù... è stato uno spettacolo incredibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nMa dubito che avresti sortito lo stesso effetto\nse il tuo unico pensiero fosse stato: "Ho voglia\ndi qualcosa di buono".\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nQuindi secondo voi la mia danza ne risente?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nNutri la tua danza con ciò che ti dà più gioia...\ne vedrai che anche il pubblico noterà\nla differenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nSo che fai tanti sacrifici per ballare in modo\nimpeccabile... per proteggere le persone a cui\ntieni sul campo di battaglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEd ecco perché devi concederti qualcosa di\nbuono, per ballare al meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nDrago Divino, voi non capite.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nSe mi concedessi sempre degli strappi alla\nregola, sarebbe troppo rischioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nCome ballerino ho sempre dovuto mettere\nl'arte davanti a tutto, anche al gusto.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nMa... comincio a capire cosa intendete quando\nparlate dei sapori della vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nMi rincuora sapere che vi preoccupate per me.\nGrazie.\x0E\x04\x00\x00
