MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBuongiorno, principe Diamant. Vedo che anche\ntu sei mattiniero.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIn realtà no, principe Alfred. Ho fatto le ore\npiccole, semmai.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nStai dicendo che sei rimasto alzato tutta la\nnotte?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nProprio così.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAvevo un piccolo impegno da sbrigare e, prima\nche me ne accorgessi, si era fatta l'alba.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nPosso chiederti di che impegno si trattava?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nStavo scrivendo ai nobili brodiani. L'esercito ha\nbisogno del loro supporto economico.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nTemo che questi prestiti possano diventare\nun'arma a doppio taglio... ma non ho molta\nscelta.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh. Capisco... Cioè... non deve essere facile\ntrovarsi in questa... situazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nÈ un problema comune a molti regnanti, a\nprescindere dal regno di appartenenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nMh... senza dubbio.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nOrbene. Torno alla mia ricognizione mattutina.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nSe non ti dispiace, verrei con te. A questo punto\nnon ha più senso andare a dormire.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nUna bella chiacchierata con un altro principe mi\nsembra più interessante.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nÈ gentile da parte tua. Mi spiace solo che questa\nopportunità si presenti di questi tempi difficili.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nUna passeggiata sarà un buon pretesto per\nconoscerci meglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nPer cominciare, avrei una domanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nQual è il tuo muscolo preferito?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAhahah! Sarebbe questa la prima domanda che\nti viene in mente?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, ops.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nEro riuscito a tenere un tono rispettabile,\nprima che mi sfuggisse questa domanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNessun problema. Anzi, cercherò di essere\nmeno formale anch'io.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nSul serio? Sarebbe fantastico, principe\nDiamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSalve, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nPrincipe Alfred. Stai andando ad allenarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nSì! Volevo chiederti di venire con me. È un\nbuon momento?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTempismo perfetto. Stavo proprio per allenarmi\npure io.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nAllora andiamo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x04\x03\x04
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nGyah!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nOh! Gah!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nGhhh! Tutto qui quello che sai fare?!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nNeanche per sogno! Prendi questo!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x04\x03\x04
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nPant... Puff... Penso che possa bastare.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nD'accordo. Sei stato un degno avversario.\x0E\x04\x00\x00
