MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nUhm. Veyle... perché mi guardi in quel modo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nÈ solo che... stai davvero bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nSì, sto bene. Certo è una strana esperienza...\ndiventare un'aberrazione... e poi riprendere\ncoscienza...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nMa ora sto bene, e solo grazie a te, Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nSono sollevata.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nI-Io volevo anche chiederti scusa per tutto\nciò che ho fatto... in passato.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nTante persone sono morte per colpa mia... per\ncolpa della mia debolezza.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nLo so che è folle pretendere il tuo perdono, ma\nti prego, concedimene almeno un po', se puoi.\nMi dispiace tanto.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nOh, Veyle, non devi scusarti. Il solo responsabile\nè il Drago Maligno. È sua la colpa, non tua.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nDici di essere debole, ma ti sei liberata da lui\ne lo hai fatto con le tue forze. Non è una cosa\nda poco.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nCercherò di diventare più forte. Come ti ho\ndetto vorrei diventare un drago come te...\nun drago in grado di salvare il mondo...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nFarò qualsiasi cosa in mio potere per realizzare\nil mio sogno. E tu... mi aiuterai?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nCerto, a che servono sennò i fratelli maggiori?\x0E\x04\x00\x00
MID_RELIANCE_C_#015_F	\x0E\x03\x02\x0A\x08リュール\nCerto, a che servono sennò le sorelle maggiori?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nAiutarti a realizzare il tuo sogno è il minimo che\npossa fare per rimediare alla mia lunga assenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nNon temere, ci sono io qui con te. Insieme,\npossiamo fare qualsiasi cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nSì, ce la faremo!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nTi ricordi quando mi donasti la pietra drago?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nVorrei poterti dire di sì, ma tutti i miei ricordi\nprima del risveglio sono confusi.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nBeh, io e te ci incontrammo solo una volta,\nmille anni fa.\x0E\x04\x02\x00
