MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nAaah... per oggi basta con gli allenamenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nQuesta sessione è stata piuttosto intensa.\nSarai stanca, no? Non sei cambiata da quando\nsei in questo mondo.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	A proposito, come vanno le cose?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nマデリーン\nOra che comincio a legare con tutti gli altri,\nmi sento un po' più come a casa mia.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	E tu?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nIo? Tutto a posto. Certo non è stato facile\nconoscere tutti questi amici nuovi in una volta.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Non ho ancora avuto l'opportunità di passare\ndel tempo con tutti gli altri, a parte noi dei\nQuattro Venti... ma ci farò l'abitudine.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nSì, qui c'è un gran movimento.\nMi ricorda un po' il mio villaggio nativo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nNon parliamo mai di queste cose, in effetti.\nCom'era la tua famiglia?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nマデリーン\nBeh, la mia infanzia è stata felice.\nEntrambi i miei genitori erano cavalieri e li ho\nsempre ammirati per questo.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	So che mi hanno amata molto, ed è per loro\nche sono diventata una cavaliera anche io.\nPer renderli orgogliosi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nQuanto amore... Sono un po' invidioso.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nBeh, crescere con dei genitori amorevoli\nè una vera benedizione.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Non tutti hanno la fortuna di essere amati\nsin da piccoli. E in fondo... non tutti sono\ncapaci di amare.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nUhm... ho l'impressione che non stiamo più\nparlando di me.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nOh... scusa. Non volevo... cioè, non badare a me.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Sarai stanca per l'allenamento. Non volevo\ndisturbarti, possiamo parlare un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nマデリーン\nVa bene, alla prossima, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEhi, Madeline. Ti alleni anche oggi?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nCiao, Gregory. Sì, ma stavo giusto per fare una\npausa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nScusa per l'altra volta. Mi stavi parlando dei\ntuoi genitori, e invece sono finito a parlare di\nme...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nNon preoccuparti.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Ma mi hai fatta preoccupare per te.\nTi va di parlarmi della tua infanzia?\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Solo se non ti mette a disagio, ovviamente.\nNon voglio turbarti di nuovo senza intenzione.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nLo apprezzo molto. Sei molto più matura di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nNon esagerare.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nÈ una vecchia storia, e nemmeno così\ninteressante. Ma se proprio vuoi sentirla...\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Sono cresciuto in una famiglia molto povera,\ne come se non bastasse i miei si odiavano.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	A volte erano persino violenti. Non ricordo\nalcun gesto gentile da parte loro nei miei\nconfronti.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nマデリーン\nMa è terribile...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nAnche il giorno del mio compleanno non\nfacevano altro che sgridarmi. Ma io volevo\nsolo un pupazzo per giocare.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Sai che non sopporto il dolore, così cercavo\ndi fare il bravo per evitare le punizioni, ma...\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Non serviva a niente. Non mi hanno mai amato,\nfino alla fine... quando... mi vendettero.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nマデリーン\nNon ho parole. Non riesco a immaginare come\nun genitore possa liberarsi in questo modo\ndel proprio figlio.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\nSembra incredibile, ma il mondo è pieno di\ngente così.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nマデリーン\nMi dispiace tanto, Gregory. Non lo sapevo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nグレゴリー\nNon devi scusarti. È solo che mentre parlavamo\ndella famiglia, mi è tornata in mente la mia.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	E a quanto pare i tuoi genitori erano davvero\nfantastici. Fai bene a mostrare con orgoglio\nl'amore che avevano per te.\x0E\x04\x00\x00
