MSID_Hp_5	PS +5
MSID_H_Hp_5	Incrementa i PS massimi di 5.
MSID_Hp_7	PS +7
MSID_H_Hp_7	Incrementa i PS massimi di 7.
MSID_Hp_10	PS +10
MSID_H_Hp_10	Incrementa i PS massimi di 10.
MSID_Hp_12	PS +12
MSID_H_Hp_12	Incrementa i PS massimi di 12.
MSID_Hp_15	PS +15
MSID_H_Hp_15	Incrementa i PS massimi di 15.
MSID_Str_1	Forza +1
MSID_H_Str_1	Incrementa la Forz di 1.
MSID_Str_2	Forza +2
MSID_H_Str_2	Incrementa la Forz di 2.
MSID_Str_3	Forza +3
MSID_H_Str_3	Incrementa la Forz di 3.
MSID_Str_4	Forza +4
MSID_H_Str_4	Incrementa la Forz di 4.
MSID_Str_5	Forza +5
MSID_H_Str_5	Incrementa la Forz di 5.
MSID_Str_6	Forza +6
MSID_H_Str_6	Incrementa la Forz di 6.
MSID_Tec_1	Destrezza +1
MSID_H_Tec_1	Incrementa la Des di 1.
MSID_Tec_2	Destrezza +2
MSID_H_Tec_2	Incrementa la Des di 2.
MSID_Tec_3	Destrezza +3
MSID_H_Tec_3	Incrementa la Des di 3.
MSID_Tec_4	Destrezza +4
MSID_H_Tec_4	Incrementa la Des di 4.
MSID_Tec_5	Destrezza +5
MSID_H_Tec_5	Incrementa la Des di 5.
MSID_Spd_1	Velocità +1
MSID_H_Spd_1	Incrementa la Vel di 1.
MSID_Spd_2	Velocità +2
MSID_H_Spd_2	Incrementa la Vel di 2.
MSID_Spd_3	Velocità +3
MSID_H_Spd_3	Incrementa la Vel di 3.
MSID_Spd_4	Velocità +4
MSID_H_Spd_4	Incrementa la Vel di 4.
MSID_Spd_5	Velocità +5
MSID_H_Spd_5	Incrementa la Vel di 5.
MSID_Lck_2	Fortuna +2
MSID_H_Lck_2	Incrementa la Fort di 2.
MSID_Lck_4	Fortuna +4
MSID_H_Lck_4	Incrementa la Fort di 4.
MSID_Lck_6	Fortuna +6
MSID_H_Lck_6	Incrementa la Fort di 6.
MSID_Lck_8	Fortuna +8
MSID_H_Lck_8	Incrementa la Fort di 8.
MSID_Lck_10	Fortuna +10
MSID_H_Lck_10	Incrementa la Fort di 10.
MSID_Lck_12	Fortuna +12
MSID_H_Lck_12	Incrementa la Fort di 12.
MSID_Def_1	Difesa +1
MSID_H_Def_1	Incrementa la Dif di 1.
MSID_Def_2	Difesa +2
MSID_H_Def_2	Incrementa la Dif di 2.
MSID_Def_3	Difesa +3
MSID_H_Def_3	Incrementa la Dif di 3.
MSID_Def_4	Difesa +4
MSID_H_Def_4	Incrementa la Dif di 4.
MSID_Def_5	Difesa +5
MSID_H_Def_5	Incrementa la Dif di 5.
MSID_Mag_2	Magia +2
