MID_SYS_EnchantEffect	Effetto incanto
MID_DLC_News_Patch1_Title	Ver. 1.2.0
MID_DLC_News_Patch1	Pass di espansione\n\n・ Sono stati aggiunti gli emblemi Hector, Soren e Camilla.\n　 Si uniranno al tuo gruppo quando avrai completato\n　 i rispettivi capitoli divini.\n\n・ È stato aggiunto il bonus 2 del pass di espansione.\n　 Se hai acquistato il pass di espansione, riceverai\n　 alcuni materiali, armi e abilità.\n\n・ Sono stati aggiunti nuovi accessori alla boutique.\n　 Questi includono il set spirito, la maschera spirito,\n　 le orecchie spirito, le orecchie da cane, le orecchie\n　 da coniglio e le orecchie da volpe.\n\nContenuto gratuito\n\n・ Sono stati aggiunti degli spazi ricreativi al Somniel.\n　 Usali per aumentare i punti sostegno con gli alleati.
MID_MSG_GET_ITEM_DLC_Accessory2	Bonus 2 del pass di espansione ricevuto.
MCID_G002_PREFIX	Capitolo divino
MCID_G002	Il Generale Audace
MCID_G002_PLACE	Antro del berserker
MCID_G002_OUTLINE	Hai scoperto l'esistenza di un\nbracciale in una malsana caverna\npiena di miasma.
MCID_G004_PREFIX	Capitolo divino
MCID_G004	Lo Stratega
MCID_G004_PLACE	Grotta lavica
MCID_G004_OUTLINE	Hai scoperto l'esistenza di un\nbracciale in una caverna piena\ndi lava.
MCID_G005_PREFIX	Capitolo divino
MCID_G005	La Sorella Devota
MCID_G005_PLACE	Passaggio sotterraneo
MCID_G005_OUTLINE	Hai scoperto l'esistenza di un\nbracciale in alcune rovine\nsotterranee.
MID_RULE_G002_WIN	Sconfiggi l'emblema Hector.
MID_RULE_G004_WIN	Sconfiggi l'emblema Soren.
MID_RULE_G005_WIN	Sconfiggi l'emblema Camilla.
MTID_VolcanicBombTraces	Terra bruciata
MTID_Fumarole	Fumarola
MTID_Crater	Cratere
MPID_Hector	Hector
MPID_H_Hector	L'emblema della Forza. Giovane\neroico ed esuberante, che scoppia\ndi sicurezza in sé stesso.
MPID_Senerio	Soren
MPID_H_Senerio	L'emblema dell'Acume. Uno stratega\ndagli abiti scuri, riservato e di grande\ngiudizio.
MPID_Camilla	Camilla
MPID_H_Camilla	L'emblema della Rivelazione.\nCavalca una viverna ed è avvolta\nda un'aura ammaliante.
MGID_Hector	Hector
MGID_H_Hector	L'emblema della Forza. Sbaraglia\ni nemici con la sua ascia e mette a\nrischio la propria vita per gli amici.
MGID_H_EnemyHector	Un emblema risvegliatosi dal\nbracciale del Generale Audace.
MGID_Senerio	Soren
MGID_H_Senerio	L'emblema dell'Acume. Eccelle\nnelle arti magiche e nell'uso di\npotenti tomi.
MGID_H_EnemySenerio	Un emblema risvegliatosi dal\nbracciale dello Stratega.
MGID_Camilla	Camilla
MGID_H_Camilla	L'emblema della Rivelazione.\nVola e sbaraglia i nemici a suon di\nascia e tomi magici.
MGID_H_EnemyCamilla	Un emblema risvegliatosi dal\nbracciale della Sorella Devota.
MGEID_Hector	Forza
MGEID_Senerio	Acume
MGEID_Camilla	Rivelazione
MJID_Enchant	Incantatore
MJID_H_Enchant	Un guaritore che usa gli strumenti\nin combattimento. Ha accesso ai\nrifornimenti e supporta gli alleati.
MIID_Hector_WolfBeil	Wolfbeil
MIID_H_Hector_WolfBeil	Ascia dell'emblema Hector.\nEfficace contro le unità a cavallo\ne corazzate.
MIID_Hector_Runesword	Spada runica
MIID_H_Hector_Runesword	Spada dell'emblema Hector. Attacca\nda vicino e lontano. Ripristina PS\npari al 50% del danno inflitto.
MIID_Hector_Armads	Fragore
MIID_H_Hector_Armads	Ascia dell'emblema Hector col\npotere del lampo. Conferisce Dif +5.\nEfficace contro i draghi.
MIID_Senerio_Thunderstorm	Tempesta
MIID_H_Senerio_Thunderstorm	Magia del tuono a lungo raggio\ndell'emblema Soren. No attacco\ndoppio.
MIID_Senerio_MagicShield	Scudo magico
MIID_H_Senerio_MagicShield	Bastone dell'emblema Soren.\nIl 50% del danno magico subito dagli\nalleati nel raggio di 2 spazi viene\ninferto al nemico per 1 turno.
MIID_Senerio_Rexcalibur	Rexcalibur
MIID_H_Senerio_Rexcalibur	Potente magia del vento\ndell'emblema Soren.\nEfficace contro le unità volanti.
MIID_Senerio_Disaster	Cataclisma
MIID_H_Senerio_Disaster	Attacchi magici dell'emblema Soren\ncon fuoco, tuono e vento al 40% di\ndanno. Vento efficace contro volanti.
MIID_Camilla_BoltAxe	Ascia lampo
MIID_H_Camilla_BoltAxe	Ascia magica dell'emblema Camilla.\nAttacca da vicino e lontano.
MIID_Camilla_Lightning	Lampo
MIID_H_Camilla_Lightning	Magia dell'emblema Camilla.\nSe l'unità inizia lo scontro, attacca\ndue volte.
MIID_Camilla_Camilla'sAxe	Ascia di Camilla
MIID_H_Camilla_Camilla'sAxe	Ascia dell'emblema Camilla.\nConferisce Res +10 e infligge danno\nextra pari a Res meno Dif nemica.
MIID_HE_Vulnerary	L'unità e gli alleati entro 2 spazi\nrecuperano 15 PS.
MIID_HE_Antidote	L'unità e gli alleati adiacenti\nguariscono dalle alterazioni di stato.
MIID_HE_Medicine	La barra unione dell'unità e degli\nalleati adiacenti si riempie di 2.
MIID_HE_HolyWater	L'unità e gli alleati adiacenti\nottengono efficacia contro le\naberrazioni per 1 turno.
MIID_HE_Torch	Unità e alleati adiacenti ottengono\n"Torcia" (illumina raggio di 7 spazi\nche si riduce di 1 spazio per turno).
