MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nEhi, Louis! Che c'è? Non riesci a smettere di\nguardarmi?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nProprio così, Rosado. Ti trovo incantevole.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nMa davvero?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nQuando parli e ti muovi sprigioni sempre\nuna grande energia.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nUn'immagine davvero sublime.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nAhahah! Ti stavo solo provocando. Comunque\napprezzo la tua sincerità.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nCredevo preferissi osservare scene di vita\nsociale.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nC'è differenza dall'osservare un ragazzo\nda solo?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nCerto che no.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nCi sono persone che anche da sole trasmettono\nenergia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nQuando vedi un adorabile cucciolo zampettare\nper strada, ti importa se sia da solo?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nBeh, no.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nAppunto.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nUhm. Louis, sei un tipo interessante, sai?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nNon abbiamo avuto occasione di parlare molto,\nma ora voglio conoscerti meglio!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nMi fa piacere, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nVisto che ci siamo, perché non ti unisci a me per\nun tè? Ho un servizio perfetto per l'occasione.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ロサード\nMi sembra un'ottima idea! Andiamo!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nMa come... Non la trovi carina?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nNon provocarmi, Rosado. Non cederò.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nGuarda meglio. Allora, non la trovi neanche un\npo' carina?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nProprio per niente. Non c'è nemmeno una\ngoccia di carineria.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nChe strano... visto che ti piace l'uva, pensavo\nche ti sarebbe piaciuta anche questa.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nForse l'uva di mare non è adatta a ogni palato.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nL'uva di mare NON È UVA! Sono alghe! Dell'uva\nhanno solo il nome. Mi fanno ribrezzo, se\nproprio ci tieni a saperlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nSomigliano solo lontanamente alla specialità del\nmio paese, ma sono SALATE! Come le\nlacrime di stizza che mi stanno scendendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nUhm... come vuoi. A me piacciono.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nLe palline sono così carine, e poi a ogni morso\nsembra quasi di mangiare l'oceano.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nD-Davvero? Allora perdona le mie parole.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nPerché mi chiedi scusa, Louis?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nCerco sempre di apprezzare le cose che\npiacciono ai miei amici, nei limiti del possibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nPerò, mi dispiace, con l'uva di mare proprio\nnon ci riesco!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nAhah! Non ti preoccupare. Possiamo avere gusti\ndiversi e restare amici.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nDavvero? Allora non hai niente in contrario se\ncontinuo a osservarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nNon sopporterei di non poter più godere della\nvista del mio adorato Rosado che fa le sue cose.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nFai pure! Preparati a imprimere la mia adorabile\nimmagine nei tuoi occhi!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nSarà fatto!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nEhi Louis, non muoverti, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nCarta e pennello? Vuoi dipingere?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nHo sentito dire che sei abile e veloce a\ndipingere panorami.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nProprio così, è il mio talento non così nascosto.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nMa qui cosa vuoi dipingere? Il panorama\nè un po' noioso...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nTe, Louis! Ti farò un ritratto.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nPer la precisione, un ritratto di te e me.\nMi aggiungerò in un secondo momento.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nNon sarebbe molto più carino un autoritratto?\nA mio parere sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nPuò darsi, ma questa volta non cerco solo la\nbellezza in sé e per sé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nAh, no?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nVoglio un ritratto insieme a te, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nVolevo qualcosa per ricordarmi del mio caro\namico.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nOh, Rosado. Che tenero da parte tua!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nEheheh... Faccio del mio meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nSarebbe un problema se indossassi\nuna maschera?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nUna maschera?! Va bene che non volevo solo\nla bellezza fine a sé stessa, ma ciò non significa\nche non voglia disegnare la tua faccia!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nEra solo un a proposta...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nTienitela pure per te. Pfui.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nA questo punto chiunque sarebbe arrossito e\navrebbe accettato. Ma tu non sei chiunque, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nPerdonami. Sono contento di apparire nel tuo\nquadro, ma anche un po' in imbarazzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nNon sono... ehm... carino.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nDi solito forse no, ma la tua faccia imbarazzata\nè super carina.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nMi piacerebbe avere un ricordo insieme. Ma\nnon devi sentirti obbligato, eh.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nProva a immaginarmi tra tanti anni, da vecchio...\nmentre cerco di ricordare il volto del mio caro\namico Louis e non ci riesco.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nBene, dunque, per amore del mio caro amico\ne della sua passione, accetterò il mio destino.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ロサード\nGrazie! Resta in posa, non ci vorrà molto.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ロサード\nUn giorno ripenseremo a questo momento. E\nquesto ritratto ci aiuterà a ricordarlo meglio!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nSe questo è ciò che devo sopportare per\nonorare la nostra amicizia, lo farò più che\nvolentieri.\x0E\x04\x00\x00
