MID_MAP_HIS_PhaseBegin_Player	Inizio fase giocatore.
MID_MAP_HIS_PhaseBegin_Enemy	Inizio fase nemici.
MID_MAP_HIS_PhaseBegin_Ally	Inizio fase alleati.
MID_MAP_HIS_Fixed	\x0E\x01\x00\x00 ha atteso.
MID_MAP_HIS_Talk	\x0E\x01\x00\x00 ha parlato.
MID_MAP_HIS_Attack	\x0E\x01\x00\x00 ha attaccato.
MID_MAP_HIS_Rod	\x0E\x01\x00\x00 ha usato un bastone.
MID_MAP_HIS_EngageCharge	\x0E\x01\x00\x00 ha usato Grande etere.
MID_MAP_HIS_Destroy	\x0E\x01\x00\x00 ha distrutto qualcosa.
MID_MAP_HIS_ItemUse	\x0E\x01\x00\x00 ha usato uno strumento.
MID_MAP_HIS_Trade	\x0E\x01\x00\x00 ha scambiato strumenti.
MID_MAP_HIS_PutOff	\x0E\x01\x00\x00 ha eliminato strumenti.
MID_MAP_HIS_Visit	\x0E\x01\x00\x00 ha visitato un luogo.
MID_MAP_HIS_Breakdown	\x0E\x01\x00\x00 ha conquistato.
MID_MAP_HIS_Escape	\x0E\x01\x00\x00 ha effettuato una fuga.
MID_MAP_HIS_Door	\x0E\x01\x00\x00 ha aperto una porta.
MID_MAP_HIS_Torch_Off	\x0E\x01\x00\x00 ha spento una luce.
MID_MAP_HIS_Torch_On	\x0E\x01\x00\x00 ha acceso una luce.
MID_MAP_HIS_TreasureBox	\x0E\x01\x00\x00 ha aperto uno scrigno.
MID_MAP_HIS_Transporter	\x0E\x01\x00\x00 ha usato i rifornimenti.
MID_MAP_HIS_Dance	\x0E\x01\x00\x00 ha danzato.
MID_MAP_HIS_Guard	\x0E\x01\x00\x00 ha eseguito una parata concatenata.
MID_MAP_HIS_LucinaEngage	\x0E\x01\x00\x00 ha usato Legame di scudo.
MID_MAP_HIS_OverlapSkill	\x0E\x01\x00\x00 ha usato una vena del drago.
MID_MAP_HIS_CommandSkill	\x0E\x01\x00\x00 ha usato \x0E\x01\x01\x00.
MID_MAP_HIS_VisionCreate	\x0E\x01\x00\x00 ha evocato cloni illusori.
MID_MAP_HIS_VisionDelete	\x0E\x01\x00\x00 ha scacciato cloni illusori.
MID_MAP_HIS_DestroyVillage	\x0E\x01\x00\x00 ha distrutto una casa.
MID_MAP_HIS_EngageBreak	\x0E\x01\x00\x00 ha usato Spezza unione.
MID_MAP_HIS_EngageAttack	\x0E\x01\x00\x00 ha usato \x0E\x01\x01\x00.
MID_MAP_HIS_PickUp	\x0E\x01\x00\x00 ha agito.
