MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMi sento più tranquillo, con un drago al mio\nfianco. Insieme riporteremo la pace in questo\nmondo.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nÈ un privilegio combattere al fianco del\nleggendario Re Eroico. Farò del mio meglio.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSai, Nel, tu mi ricordi mia sorella. Aveva la tua\nstessa gentilezza e risolutezza.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nNon sapevo che avessi una sorella. Se ti fa\npiacere, puoi considerarmi una seconda sorella.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04エル\nMarth, se mi permetti la domanda, mi\npiacerebbe sapere cosa ti spinge a combattere.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06マルス\nSogno un mondo senza sofferenze e mi batto\nper realizzare tale sogno.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nSento che abbiamo una forte affinità.\nSarei orgogliosa di aiutarti a perseguire\nil tuo sogno.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06マルス\nTi ringrazio, Nel. Sappi che la penso come te.\nContinuiamo a unire le forze, inseguendo\nil nostro obiettivo.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nUn alleato dai poteri draconici non può che\ndarmi ancora più sicurezza. Insieme riporteremo\nla pace.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nSono più che pronto. Questo sarà per me un\nmodo di espiare le mie colpe.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nDietro la tua spavalderia, si cela un animo\ngentile, o sbaglio? In battaglia, così come\nnella vita.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nCome dici?! Ti sbagli di grosso. Anche se,\ndevo ammetterlo, di recente sto cercando\ndi cambiare.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMia sorella mi salvò la vita, una volta. Proprio\ncome la tua. Rischiò la vita per farmi fuggire\nda una situazione disperata.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nE così persino il famoso Re Eroico si è trovato\nin una situazione disperata... E poi cosa\nsuccesse a tua sorella?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06マルス\nLa salvai a mia volta. Fu allora che presi la\ndecisione di diventare più forte. Non volevo che\npiù nessuno dovesse rischiare la vita per me.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nCondivido la tua intenzione. Vedrai che\ninsieme diventeremo ancora più forti e i nostri\ndesideri si avvereranno.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHo sentito parlare di te, Marth: il Re Eroico\ndi un altro mondo. Per me è un onore\ncombattere al tuo fianco.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06マルス\nIo, invece, ho sentito parlare dei Quattro Venti.\nGrazie del supporto, è rincuorante averti tra noi.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMarth, sei amato da tutti. Non mi stupisco che\nti idolatrino in molti.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06マルス\nForse, Zelestia, ma io continuerò a fare\naffidamento su di te. Ti considero un'eccellente\ncomandante.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVoi Quattro Venti siete uniti da un forte legame.\nÈ importante avere degli alleati così.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nPrima di arrivare qui, abbiamo perso uno di noi.\nMa anche se non c'è più, saremo sempre uniti.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06マルス\nSono proprio questi legami che aiutano a\nsuperare le difficoltà. Ci serve tale forza\nper porre fine alla guerra sani e salvi.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nAnche il legame tra noi due è più stretto che\nmai. Insieme riporteremo la pace nel mondo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nグレゴリー\nChe onore combattere al fianco del Re Eroico\ndi un altro mondo. Spero vivamente di non\ndeluderti.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06マルス\nHo sentito grandi cose su di te e sui Quattro\nVenti. Sarà un'ottima collaborazione.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSi direbbe che in battaglia tiri fuori un lato\npiù coraggioso e resiliente di quanto tu lasci\nintendere, Gregory.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nBeh, non sono forte come gli altri... però non\nabbandonerei mai e poi mai i miei amici.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSe permetti, mi piacerebbe sapere come mai\nsei entrato nei Quattro Venti.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nFacile. Con mia stessa sorpresa, mi precipitai\nin aiuto di una cavaliera nei guai.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nPer quanto volessi fuggire, era mio obbligo\nmorale soccorrerla. E sono contento di averlo\nfatto, perché è così che incontrai Zelestia.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06マルス\nÈ proprio da te. Ora, ho la certezza che\nsarai sempre pronto a difendermi.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nマデリーン\nMi hanno detto che sei il leggendario Re Eroico.\nTi prometto che combatterò con onore.\x0E\x04\x00\x00
