MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nQuesta brezza... I profumi... Mi sento a casa.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nA casa? Intendi il mondo da cui provieni?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04リン\nSì, questo posto mi ricorda le pianure di Sacae,\ndove sono nata.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x06\x04リン\nMi ricordo bene la loro bellezza. Sembravano\nstendersi fino all'orizzonte davanti ai miei occhi\ndi bambina.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nSembra un paesaggio incantevole, in effetti. Il\nvento è piacevole.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x06\x04リン\nMi fa piacere che lo pensi, anche se questa\nnon è la mia vera patria.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x06\x04リン\nCi svegliavamo all'alba, ci occupavamo del\nbestiame, poi andavamo a caccia e al tramonto\ntutti a letto.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x06\x04リン\nE così via, giorno dopo giorno. Ma, purtroppo,\nnon durò a lungo.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nPerché? Cosa successe?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x06\x04リン\nIl mio popolo, la tribù dei Lorca, subì l'attacco\ndi feroci banditi. Non fummo in molti\na sopravvivere.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x06\x04リン\nQuei banditi usarono tutti i mezzi a loro\ndisposizione. Avvelenarono le nostre scorte\nidriche e ne approfittarono per attaccarci.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nMa è terribile...\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x06\x04リン\nGià. Le pianure di Sacae sono la nostra terra,\nuna terra che ci ha sempre benedetti con la sua\nabbondanza.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x06\x04リン\nAnche se questo luogo porta con sé tante\nmemorie tristi, ci sono comunque affezionata.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x06\x04リン\nMa ora basta con questi pensieri. Questo posto\nmi riempie di energia!\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x06\x04リン\nImpugna la spada! Ti mostrerò cosa sa fare\nuna guerriera dei Lorca!\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nSono pront\x0E\x0A\x00\x08\x02o\x02a. Ma non credere di battermi tanto\nfacilmente.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nNe ho passate di cotte e di crude nella vita.\nE sono cert\x0E\x0A\x00\x08\x02o\x02a che non sia finita qui.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x06\x04リン\nMa grazie a questo incontro, il nostro legame\nsi rinforzerà e con lui il mio potere.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x06\x04リン\nForza, allora! Fammi vedere cosa sai fare!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\nSei pront\x0E\x0A\x00\x08\x02o\x02a? Fatti sotto! E vedi di non trattenerti!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nSento delle voci provenire da quelle tende.\nSono dei nemici. Attacchiamoli, prima che\nsia troppo tardi.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\nNon me ne starò certo qui a guardare! Farò\nla mia parte anch'io!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x0E\x04リン\x06Die\n\x0E\x03\x02\x06\x04リン\nQueste pianure, dalle distese verdi e dai venti\npossenti hanno fatto di me la guerriera forte\nche ora hai davanti. E tu sei forte?\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDevo ancora migliorare, ma ho acquisito forza\nin questa avventura.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x02\x06\x04リン\nBuono a sapersi, ma sappi che non ci andrò\nleggera!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x14\x08アイビー\x08Pain\n\x0E\x03\x02\x0A\x08アイビー\nChe strana sensazione combattere contro di te.\nNon faccio che pensare a mio padre e a tutto\nquello che è successo.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\nMh? Mi fa piacere affrontarti, abile come sei.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x12\x08アイビー\x06Sad\n\x0E\x03\x02\x0A\x08アイビー\nMio padre non aveva mai parole così\nincoraggianti. E va bene, cominciamo.\x0E\x04\x00\x00
