MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nFiuuu, per oggi può bastare.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNon vi siete risparmiat\x0E\x0A\x00\x08\x02o\x02a, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nヴァンドレ\nHo qui un panno caldo per il viso. Vi solleverà\ndalla fatica, vedrete.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nGrazie, Vander. Apprezzo molto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nE vi ho anche portato degli abiti di ricambio.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nQuando vi cambiate, mettete quelli sporchi\ndentro alla cesta. Penserò io a lavarli.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nÈ un pensiero gentile, Vander, ma preferirei\noccuparmi personalmente del mio bucato.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nAvrai senza dubbio altri impegni a cui dedicarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nIl mio impegno è prendermi cura di voi, Drago\nDivino. Non formalizzatevi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nMa...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nMi occupo di voi da ben prima del vostro\nrisveglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nSe doveste addossarvi questi compiti, la mia\nposizione diventerebbe inutile.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nLasciate a me queste piccolezze e non pensateci\npiù.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nGrazie mille, apprezzo l'aiuto, ma ciò non toglie\nche mi senta un po' a disagio.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nヴァンドレ\nIn tutto l'Elyos non avete niente di cui sentirvi a\ndisagio, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nSe permettete, insisto perché vi togliate quegli\nabiti umidi di dosso o vi prenderete un malanno.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDrago Divino, ho terminato di riparare e lucidare\nle vostre armi.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nIl materiale per il consiglio di guerra di domani\nè pronto.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nSe poteste darvi un'occhiata in giornata...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nNon ci riesco, chiedo scusa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nA fare cosa, se posso chiedere?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nNon ti fidi delle mie capacità, per caso?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nヴァンドレ\nCome? Ma no, ci mancherebbe!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nDrago Divino, siete un\x0E\x0A\x00\x06
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nAdempiere ai miei compiti è un piacere per me,\nquindi vi prego, accettate i miei servigi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nNon è nelle mie corde, Vander. Non mi sento a\nmio agio, non so come spiegartelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nPrima di essere il vostro valletto, ho servito\nla regina Lumera, come sapete.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nUna regina brillante e senza macchia, che ha\nsempre accettato di buon grado il mio ausilio.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nOra, Drago Divino, toccherà a voi abituarvi al\nmio servizio.\x0E\x04\x00\x00
