MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nSì! Questo pesce alla griglia è divino.\nChe consistenza fantastica.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nHo aggiunto un pizzico di sale per assorbire\nl'umidità e rendere il pesce più tenero.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nQuesta è la tua opera migliore, Bunet.\nE non è una gara facile.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nBeh, in fondo non sono solo il tuo attendente,\nma anche il tuo cuoco personale.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nÈ mio dovere conoscere i tuoi gusti e\nprepararti dei pasti adeguati.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nLo so! Sono proprio fortunato.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nMa ti sei scordato una cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nCosa? Troppo poco limone? La presentazione\nnon era abbastanza piacevole?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nOh, non riguarda il piatto, ma i titoli. Hai detto\nattendente, cuoco personale, ma ne manca uno.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nMigliore amico.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nAh... hai proprio ragione, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nAbbiamo condiviso tanti pasti al ristorante\ndei miei genitori, quasi ogni giorno.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nPiù che la bontà dei piatti, amavo le ore\ntrascorse a parlare, fino oltre la chiusura.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nNon scorderò mai quei giorni, a differenza di\nqualcuno, che si era scordato fossimo amici...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nNon mi ero scordato. La mia memoria\nfunziona bene per amici e sapori.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nÈ solo che ora ti vedo più come un salvatore\nche come un amico.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nUn salvatore? In che senso?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nCerto, non puoi capire.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nNon ti preoccupare, finisci il tuo pasto prima\nche si raffreddi. Il dolce sarà servito tra poco.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nフォガート\nIl dolce? Evviva!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nフォガート\nÈ il miglior cibo del mondo, senza eccezione.\nLo finirò in un battibaleno.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nIl miglior cibo del mondo, eh? Ah...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nMmmh, che delizia, Bunet. Un vero trionfo\nculinario!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nSi capiva che ti piace, dalla tua espressione\ndeliziata.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nPrima che mi dimentichi, dobbiamo riprendere\nil discorso dell'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nChe intendi?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nIl discorso sul "salvatore"... Ci ho pensato tanto,\nma non riesco a capire di cosa parli.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nAh, quel discorso.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nMi iscrissi al concorso per diventare il cuoco\ndi corte, e persi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nFu la più grande vergogna della mia vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nEppure tu decidesti di ignorare il mio\nfallimento e assumermi come cuoco personale.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nNon potrò mai ripagare la tua gentilezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nCapisco, Bunet... ma a me non importava niente\ndel concorso.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nSono solo contento che tu abbia partecipato,\nperché sei riapparso nella mia vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nCosa? Era la tua intenzione fin dall'inizio?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nMa certo. Erano passati molti anni dall'ultima\nvolta che ti avevo visto al ristorante dei tuoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nGià. Che amarezza non potersi vedere più.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nMa ora è meglio cambiare argomento, perché\nla portata principale è pronta.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nNon vorrei che la mente offuscata dai ricordi\nnon ti facesse cogliere appieno tutti i sapori.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nHai ragione.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nChe buoooono! I tuoi piatti sono i migliori\ndel mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nMmh! Questo sì che era un dolce.\nChe soddisfazione questo pasto.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nLe tue lodi sono una manna per la mia anima.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nSbaglio o noto una certa malinconia?\nC'è qualcosa di cui vuoi parlarmi?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nSì... c'è qualcosa che hai detto che non riesco\na togliermi dalla testa. Tu... mi hai cercato?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nCerto, quando seppi dei banditi che\ndevastarono il tuo villaggio fui sconvolto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nNon era rimasto più niente. Il ristorante dei tuoi\ngenitori... una montagna di cenere.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nQuel ricordo è impresso indelebilmente nella\nmia mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nCercai di arrivare il più presto possibile... ma\npurtroppo era già troppo tardi.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nEri fuggito con tutti gli altri e non avevo idea\ndi dove fossi andato.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nSuccesse tutto così in fretta. Non ebbi neanche\nil tempo di dire al mio miglior amico dove stavo\nandando.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nNon potevi fare altrimenti. Ma io non ho mai\nsmesso di cercarti, né di sperare di rivederti,\nun giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nMi mancava la tua cucina deliziosa... ma più\ndi tutto mi mancavano le nostre conversazioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nMancavano anche a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nE quando venni a sapere del concorso di cucina,\nnon avevo dubbi che avresti partecipato.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nSapevo che non avresti resistito alla tentazione\ndi mostrare le tue abilità.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nSe ci pensi, il tuo talento in cucina è la sola\nragione per cui ci siamo rincontrati.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nEppure persi il concorso...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nAhahah! Ancora?! Bunet, chi se ne importa!\nEri solo un po' arrugginito.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nSe partecipassi oggi, sbaraglieresti\nla concorrenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ボネ\nOh, Fogado... grazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nTi ringrazio per aver continuato a cercarmi. Così\nora possiamo goderci momenti come questo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nSei davvero il mio salvatore.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\n"Salvatore" suona un po' pesante, ma... va bene!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nE ti avviso, non ti permetterò mai più di\nabbandonarmi in quel modo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nLa penso così anche io.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nSono il tuo cuoco e attendente personale.\x0E\x04\x00\x00
