MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nUna grigliata e via! Questa carne sarà buona\nda far girar la testa!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nWow. È un bel po' di carne per noi due.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nOh, no. Questa è solo per me.\nTra poco preparo la tua.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nCosa?! Come fai a mangiare così tanto?!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nSolite cose, apro la bocca, mordo, mastico...\nNon voglio annoiarti con i dettagli.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nSei davvero incredibile, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nÈ VERO! SONO DAVVERO INCREDIBILE!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nSONO LA PRINCIPESSA EREDITARIA DI SOLM\nE INDOSSO UN SACCO DI GIOIELLI PREZIOSI!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nTi prego, non gridare!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nHo sentito dire che quest'area non è molto\nsicura.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nPuoi dirlo forte, pullula letteralmente di banditi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nPer questo sono qui fuori, come un cosciotto\nd'agnello succulento.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nUn momento... hai intenzione di usare te\nstessa... come esca?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nHa funzionato? Guarda quei mascalzoni che\nci hanno puntato da quando siamo qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nSembra che... si stiano preparando\na un'imboscata!\x0E\x04\x00\x00
