MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nHai una forza considerevole, Roy. Non mi\nstupisce che ti avessero affidato alla Brodia.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x06\x04ロイ\nMi lusinghi. Sono felice di potervi aiutare\na riportare la pace in questo mondo.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nSei migliorat\x0E\x0A\x00\x08\x02o\x02a molto. Hai ciò che serve per\ndiventare \x0E\x0A\x00Z*un valoroso guerriero,una valorosa guerriera.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nDevo dirti che non mi ero mai sentit\x0E\x0A\x00\x08\x02o\x02a così\nprima che tu me lo dicessi.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nLo sai cosa mi piace di te? Il fatto che non ti\ntiri mai indietro, anche quando le cose si fanno\ndifficili.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04ロイ\nQuando vedo qualcuno che ha bisogno di aiuto,\nsento di dover fare tutto ciò che posso. Tutto\nqui.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nNon tutti la pensano così. È una cosa che voglio\nimparare da te.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04ロイ\nSe ammiri questo modo di pensare, allora lo\npossiedi già. Sono felice di averti come alleat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSer Roy, se permettete vorrei cogliere\nl'occasione di imparare qualcosa in più\nsulle abilità degli emblemi.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04ロイ\nCerto. Farebbe piacere anche a me imparare\nqualcosa da te, ser Vander.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nHo finito un merletto fatto a maglia che\npotrebbe piacervi.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x06\x04ロイ\nÈ molto bello. Mi piace molto! Forse potremmo\nusarlo per decorare la sala degli emblemi.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVedo che stai lavorando a maglia. È così che\nhai fatto il merletto che mi hai mostrato l'altra\nvolta?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEsattamente. Realizzare a maglia dei bei motivi\nrichiede molta tecnica e anche un tocco\ndelicato.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nE soprattutto, mi calma il cuore. Per me è\nl'attività perfetta dopo una battaglia.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04ロイ\nÈ molto interessante. Spero che mi farai vedere\naltre delle tue creazioni.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHai passato molto tempo qui nel Somniel.\nPotresti raccontarmi qualcosa di questo posto,\nClanne?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nRaccontarti qualcosa di...? Volevo dire, sì!\nCerto! Oh, wow, lord Roy vuole il mio aiuto!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\nMh... lord Roy? Mi domandavo... Ti piacerebbe\nentrare nel nostro fan club del Drago Divino?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04ロイ\nBeh, prima dovrai spiegarmi cosa significhi\n"fan club" e poi ti farò sapere.\x0E\x04\x00\x00
