MID_TUT_CATEGORY_TITLE_Battle	Combattimento
MID_TUT_CATEGORY_TITLE_God	Emblemi
MID_TUT_CATEGORY_TITLE_Hub	Somniel
MID_TUT_CATEGORY_TITLE_Kizuna	Esplorazione
MID_TUT_CATEGORY_TITLE_Challenge	Prove
MID_TUT_CATEGORY_TITLE_Local	Scontro attuale
MID_TUT_BMAP_MOVE_TITLE	Movimento delle unità
MID_TUT_BMAP_MOVE_0	Per far muovere una delle tue unità,\nselezionala con \x0E\x08\x02\x04\x02A, poi scegli la destinazione\ncon \x0E\x08\x02\x0E\x0CStickL.
MID_TUT_BMAP_MOVE_1	Puoi spostare l'unità su uno qualunque\ndegli spazi blu.
MID_TUT_BMAP_MOVE_2	Premi di nuovo \x0E\x08\x02\x04\x02A per confermare\nla destinazione.
MID_TUT_BMAP_COMMAND_TITLE	Comandi delle unità
MID_TUT_BMAP_COMMAND_0	Dopo aver spostato un'unità, vedrai un elenco\ncon i comandi.
MID_TUT_BMAP_COMMAND_1	Se non vuoi agire, seleziona "Attendi".
MID_TUT_BMAP_CHANGE_TITLE	Fine del turno
MID_TUT_BMAP_CHANGE_0	Quando tutte le tue unità hanno eseguito\nun'azione, la fase del giocatore termina\ne inizia quella del nemico.
MID_TUT_BMAP_CHANGE_1	Una volta completate le due fasi, il turno finisce\ne ne inizia uno nuovo con la fase giocatore.
MID_TUT_BMAP_ATTACK_TITLE	Attacco
MID_TUT_BMAP_ATTACK_0	Per attaccare, sposta la tua unità in prossimità\ndi un nemico, poi seleziona "Attacca".
MID_TUT_BMAP_ATTACK_1	Puoi anche iniziare un attacco premendo \x0E\x08\x02\x04\x02A\nse sposti il cursore su un nemico e vedi\napparire "\x0E\x08\x02\x04\x02A Attacca ".
MID_TUT_BMAP_ENGAGE_TITLE	Unione
MID_TUT_BMAP_ENGAGE_0	Quando la barra dell'unione è al massimo,\nseleziona "Unione".
MID_TUT_BMAP_ENGAGE_1	L'unità si unirà con l'emblema selezionato e\npotrà usare delle speciali armi unione.
MID_TUT_BMAP_ENGAGE_2	Potrà inoltre usare delle abilità speciali.
MID_TUT_BMAP_ENGAGE_3	L'unione con un emblema dura tre turni.
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	Attacchi unione
MID_TUT_BMAP_ENGAGE_ATTACK_0	Durante l'unione, puoi usare potenti attacchi\nunione.
MID_TUT_BMAP_ENGAGE_ATTACK_1	L'attacco unione è una potente abilità che può\nessere usata soltanto una volta durante l'unione.
MID_TUT_BMAP_ENGAGE_ATTACK_2	Per esempio, "Raffica suprema" infligge\ningenti danni. Per usare questo attacco,\nseleziona "Raffica suprema" e un'arma.
MID_TUT_BMAP_TERRAIN_TITLE	Effetti del terreno
MID_TUT_BMAP_TERRAIN_0	I tipi di terreno influiscono anche sulla battaglia.\nAd esempio, è più difficile mandare a segno\nun colpo contro un'unità che è tra i cespugli.
MID_TUT_BMAP_TERRAIN_1	Inoltre le unità terrestri devono usare più\nmovimenti per attraversare un cespuglio.
MID_TUT_BMAP_TERRAIN_2	Verifica gli effetti del terreno nell'angolo\nin alto a sinistra dello schermo e sfruttali\na tuo vantaggio in battaglia.
MID_TUT_BMAP_RECOVERY_TITLE	Curarsi
MID_TUT_BMAP_RECOVERY_0	Quando i punti salute (PS) di un'unità scendono\na 0, questa non potrà più combattere. Usa un\nunguento o altri strumenti curativi per impedirlo.
MID_TUT_BMAP_RECOVERY_1	Utilizza un unguento selezionandolo dal\nmenu "Strumenti" nei comandi dell'unità.
MID_TUT_BMAP_SYNCHRO_TITLE	Sincronizzazione
MID_TUT_BMAP_SYNCHRO_0	Un'unità e un emblema possono combattere\nfianco a fianco quando sono sincronizzati.
MID_TUT_BMAP_SYNCHRO_1	La sincronizzazione rende l'unità più potente\ne sblocca le abilità sincro.
MID_TUT_BMAP_KIZUNA_LV_TITLE	Livello del legame
MID_TUT_BMAP_KIZUNA_LV_0	Combattendo al fianco di un emblema, si ottiene\nesperienza di legame che incrementerà il livello\ndi legame tra unità ed emblema.
MID_TUT_BMAP_KIZUNA_LV_1	Con l'aumento del livello di legame, le unità\npossono usare nuovi effetti e ottengono bonus\nai parametri.
MID_TUT_BMAP_RANGE_TITLE	Raggio d'attacco
MID_TUT_BMAP_RANGE_0	Ogni arma ha il suo raggio d'attacco.\nUn arco con un raggio di 2 può colpire\ni nemici a distanza di due spazi.
MID_TUT_BMAP_RANGE_1	Le armi con raggio 1 non contrattaccano\ngli attacchi a distanza e quelle con raggio 2\nnon contrattaccano i nemici adiacenti.
MID_TUT_BMAP_BREAK_TITLE	Breccia
MID_TUT_BMAP_BREAK_0	Se attacchi un nemico iniziando lo scontro e\nusando un'arma in vantaggio, puoi infliggergli\nl'effetto breccia.
MID_TUT_BMAP_BREAK_1	Le unità con lo stato di breccia non possono\ncontrattaccare fin dopo il loro prossimo scontro.\nÈ il momento giusto per attaccare!
MID_TUT_BMAP_BREAK_2	Le spade sono in vantaggio contro asce, le asce\ncontro lance, le lance contro spade. Le arti\nsono in vantaggio contro archi, magia e coltelli.
MID_TUT_BMAP_WAND_TITLE	Bastoni
MID_TUT_BMAP_WAND_0	I bastoni servono ad aiutare gli alleati o a\nintralciare i nemici. Solo alcune classi, come\ni monaci, possono usarli.
MID_TUT_BMAP_WAND_1	Ad esempio, il bastone Cura ripristina i punti\nsalute (PS) di un alleato.
MID_TUT_BMAP_WAND_2	I bastoni sono utili, ma si rompono dopo averli\nusati un certo numero di volte.
MID_TUT_STYLE_PRANA_TITLE	Unità adepti qi
MID_TUT_STYLE_PRANA_0	Gli adepti qi possono usare la parata\nconcatenata per proteggere gli alleati\nadiacenti dagli attacchi.
MID_TUT_STYLE_PRANA_1	L'unità protetta resta incolume, perché\nsarà l'adepto qi a subire al suo posto i danni,\npari al 20% dei suoi PS massimi.
MID_TUT_STYLE_PRANA_2	La parata concatenata può essere usata solo se\nl'unità adepto qi ha tutti i PS.
MID_TUT_BMAP_MAGIC_TITLE	Magia
MID_TUT_BMAP_MAGIC_0	Le magie possono essere usate per attaccare\nnemici distanti e adiacenti.
MID_TUT_BMAP_MAGIC_1	Le magie tendono a essere efficaci contro\ni nemici che hanno una difesa fisica alta.
MID_TUT_STYLE_MAGIC_TITLE	Unità mistiche
MID_TUT_STYLE_MAGIC_0	Quando attaccano con la magia, i mistici\nannullano i bonus di schivata (Scv) che i\nnemici ottengono dal terreno.
MID_TUT_STYLE_MAGIC_1	Le unità mistiche riescono ad attaccare\nda lontano anche in situazioni in cui\nsarebbe difficile colpire il nemico.
MID_TUT_BMAP_GOD_ENERGY_TITLE	Aura degli emblemi
MID_TUT_BMAP_GOD_ENERGY_0	Talvolta, su alcuni spazi vedrai aleggiare\nl'aura di un emblema.
MID_TUT_BMAP_GOD_ENERGY_1	Se un'unità sincronizzata attende o termina la\nsua azione su uno spazio con l'aura di un\nemblema, la barra dell'unione si riempirà tutta.
MID_TUT_OVERALLINFORMATION_TITLE	Area di attacco
MID_TUT_OVERALLINFORMATION_0	Spostando il cursore su un nemico, puoi\nvedere la sua area di attacco. Premendo \x0E\x08\x02\x04\x02A\npuoi mantenere visibile l'area di attacco.
MID_TUT_OVERALLINFORMATION_1	Puoi premere \x0E\x08\x02\x06\x04ZL per vedere l'area di attacco\ndi tutti i nemici contemporaneamente.
MID_TUT_BMAP_SPECIALATTACK_TITLE	Efficacia
MID_TUT_BMAP_SPECIALATTACK_0	Alcune armi hanno delle icone che indicano\nl'efficacia contro certi tipi di nemici.
MID_TUT_BMAP_SPECIALATTACK_1	Queste armi infliggono danni extra al tipo di\nnemici indicato.
MID_TUT_STYLE_COOP_TITLE	Unità di rinforzo
MID_TUT_STYLE_COOP_0	Le unità di rinforzo possono aggiungere\nun attacco concatenato all'attacco di un alleato.
MID_TUT_STYLE_COOP_1	Se un alleato attacca un nemico che si trova nel\nraggio d'attacco dell'unità di rinforzo, questa si\nunirà al combattimento.
MID_TUT_STYLE_HORSE_TITLE	Unità a cavallo
MID_TUT_STYLE_HORSE_0	Le unità a cavallo hanno il raggio di movimento\npiù ampio.
MID_TUT_STYLE_HORSE_1	Con la loro rapidità possono sfrecciare verso\nil nemico per sferrare il primo colpo o aiutare\nun alleato.
MID_TUT_STYLE_COVERT_TITLE	Unità furtive
MID_TUT_STYLE_COVERT_0	Le unità furtive ottengono il doppio dei normali\nbonus alla schivata (Scv) dagli effetti del\nterreno.
MID_TUT_STYLE_COVERT_1	Sono avvantaggiate nelle aree con cespugli o\naltri tipi di terreni favorevoli.
MID_TUT_STYLE_HEAVY_TITLE	Unità corazzate
