MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nTra tutti gli anelli rubati dal castello di Lythos,\nsono l'ultima a unirmi a te... scusa per il ritardo.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nNon è colpa tua, sono content\x0E\x0A\x00\x08\x02o\x02a che tu sia\ntornata e ti prometto che non ti perderò mai più,\nErika.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nPercepisco due presenze nel tuo anello, Erika.\nIl tuo anello contiene più di un emblema?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nエイリーク\nIo e mio fratello gemello Ephraim costituiamo\nun unico emblema. Solo al massimo del nostro\npotere possiamo esistere insieme.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nÈ stato bello combattere con te, Erika.\nVorrei ringraziare personalmente anche\nEphraim.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0C\nエイリーク\nNon può palesarsi in tempo di pace. Non so se\ndipenda da lui o dall'anello, ma gli porterò i tuoi\nringraziamenti.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nGrazie. Il vostro supporto ha significato molto\nper me e avete entrambi la mia riconoscenza.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0C\nエイリーク\nMi fa piacere che le cose procedano bene.\nSpero che continueremo a collaborare a lungo.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nMi hanno detto che sei bravo nel lavoro\na maglia, ma non ti ho mai visto all'opera.\nLo trovo meraviglioso!\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nÈ raro ricevere così tante lodi. Di solito la gente\nè più che altro sorpresa.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nCosa ti spinge a combattere, Vander?\nPer cosa rischi la tua vita?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nÈ piuttosto semplice. Lo faccio per proteggere\nle persone che amo. La mia intera esistenza è\ndedicata a questo ideale.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nAnch'io voglio proteggere gli altri, proprio come\nte.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNon ho un lignaggio nobile come il vostro,\nma condivido le vostre convinzioni.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nÈ stupefacente che una principessa e un vecchio\ncavaliere mettano entrambi a rischio tutto\nquello che hanno per questo ideale...\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nエイリーク\nNo, non lo è. Il desiderio di proteggere coloro\ni quali non possono farlo da soli ci mette nella\nstessa posizione.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\nOh, anche tu hai un gemello, lady Erika?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSì! Proprio come voi, anche noi siamo un\nmaschio e una femmina. Abbiamo di sicuro\nmolto in comune.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nMio fratello mi ha sempre trattata come\nuna bambina, anche se siamo nati a pochi\nminuti di distanza.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nOh, davvero? Devo dire che anch'io\nmi preoccupo sempre per mia sorella.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\nI gemelli sono strani, non trovi? Nascono nello\nstesso momento ma c'è sempre uno dei due\nche si comporta come il maggiore.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMio fratello, con questa scusa, vuole sempre\nfare delle cose per me...\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0C\nエイリーク\nSostiene che le sorelle minori devono essere\nviziate e coccolate, anche se noi siamo nati\npraticamente nello stesso momento.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nSe è come me, immagino che adori la sua\nsorellina. Soprattutto perché siete nati nello\nstesso momento.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nIncredibile, hai anche tu un fratello gemello?\nE anche tu sei quella di poco più giovane?\nAndremo sicuramente d'accordo.\x0E\x04\x00\x00
