MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nCiao, Chloé. Sono contenta di vederti.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nOh, Citrinne, ciao. Ero qui a prendere il pranzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nC'è il mio cibo preferito. Lo vendono solo a\nquesta bancarella, ma ne vale la pena.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nDici davvero? Allora forse è il caso che lo\nassaggi.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nOffro io, Chloé. Scusate? Prendo tutto quello\nche avete.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nTutto?!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nNon preoccuparti per i soldi. E se avanza\nqualcosa, possiamo portarne anche agli altri.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nAh, vi ringrazio. Non deve essere stato facile\nimpacchettare tutto. Ecco, tenete la mancia.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nUh? Ma questo...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nÈ un cibo che mi piace tanto! Trippa di pesce\nsottaceto, per la precisione!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nT-Trippa... Ma pensa...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nOh, già, scusa. Io ne vado matta, ma forse per\nte è un po' pesante?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nNo, non è bello avere dei pregiudizi senza prima\navere assaggiato qualcosa. Accetto questa\noccasione con gioia.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nEcco, questa è la tua porzione, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クロエ\nWow, ma la stai lasciando quasi tutta a me!\nGrazie, Citrinne!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nOra, se vuoi scusarmi devo scappare. Sono\nin ritardo per una cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nDeve essere qualcosa di importante. Ti sei\nfatta così seria, di colpo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nSì, beh, importante per me. A presto, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クロエ\nCiao. E grazie per avermi offerto questa\ncaterva di cibo!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nCiao, Chloé. Anche oggi mangi alle bancarelle?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nSì. Dovresti provare questa rana bollita, è\ndeliziosa!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nN-No, grazie. Sono piena al momento...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nChloé? Anche la tua famiglia è ricca?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nMh mh. I miei genitori sono nobili.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nCapito. Allora abbiamo qualcosa in comune.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nSono nobile anch'io, di fatto sono imparentata\ncon la famiglia reale. Ho avuto una vita\nspensierata.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nEppure...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nEppure cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nChloé... Mi diresti come hai fatto a diventare\nattendente?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nHo fatto l'esame da cavaliera, l'ho passato e\nho avuto il lavoro.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nMa è fantastico. Allora hai tutto ciò che ci\nvuole per fare l'attendente.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nNon so come funzioni dalle tue parti, ma anche\ntu sei un'attendente della famiglia reale.\x0E\x04\x00\x00
