MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nMmmh. Forse sto sbagliando tutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nCosa ti preoccupa, Anna?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nPer te è "signorina Anna"! Dunque, per\nrispondere alla tua domanda, sto pensando a\ndei nuovi prodotti.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDa vendere, dici?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nSì. Conosci il giorno degli innamorati?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nNe ho sentito parlare, sì. È quel giorno in cui\nle coppie si scambiano dei regali, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nProprio quello.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nDi solito le coppie si scambiano dei fiori, ma\nche gusto c'è a farsi sempre lo stesso regalo?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nCosì ho pensato di lanciare un nuovo prodotto\nche aiuti a ridare un po' di lustro al giorno degli\ninnamorati!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nAccipicchia, non è un obiettivo da poco!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nHo bisogno del tuo aiuto, Drago Divino. E non\ntrattarmi come una bambina.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nFinora non ho ancora avuto l'idea giusta, quindi\nmi farebbe comodo qualche consiglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nUhm... Vediamo... Un regalo nuovo per il giorno\ndegli innamorati...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nChe ne dici di una collana?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nAhah. Tipicissimo regalo del giorno degli\ninnamorati. Troppo banale.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nLe collane sono come i fiori. Ho bisogno di\nqualcosa di più innovativo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nHo capito.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nI clienti non vogliono qualcosa che possono\ntrovare da altre parti. Vogliono qualcosa che sia\nspeciale.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nIl mio lavoro è così complicato perché c'è\nsempre bisogno di trovare nuove idee.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nD'accordo. Cercherò di farmi venire in mente\nqualcosa. Vedrai, troveremo il prodotto giusto!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao, signorina Anna. Ti è poi venuta l'idea\ngiusta per quel prodotto?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nNo. Sono a corto di idee.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nOh... ma stai piangendo?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06アンナ\nNo!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nMi sento solo un po' scoraggiata. Lo so, passo il\nmio tempo a dire che non sono una bambina...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nMa quando succedono queste cose, vengo\nmessa davanti alla dura realtà... sono ancora\nuna bambina.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nÈ per questo che non riesco a trovare l'idea\ngiusta per il giorno degli innamorati.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nMi dispiace tanto, signorina Anna. Ma forse so\ncome aiutarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nMh?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nSo cosa potresti vendere.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nÈ da un po' che ci penso, a dire il vero. Collane\nfatte a mano.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nCollane? Ma avevamo già detto che non\nandavano bene!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nLo so che mi avevi detto che era un regalo\npiuttosto banale.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nMa se sono fatte a mano sono uniche. E tu\ncercavi qualcosa di unico, dico bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nSe non sbaglio dalle tue parti sono tutti molto\nabili con la lavorazione del vetro.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nBasta aggiungere una cordicella e la collana è\npresto fatta!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nChe c'è... non ti sembra una buona idea?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nNo, mi piace! Potrebbe funzionare.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06アンナ\nGrazie Drago Divino!\nMi hai riacceso la passione!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nNe sono felice, signorina Anna!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao, signorina Anna. Come va con le collane?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nEhi, Drago Divino! Guarda, sono quasi a metà\ndell'opera!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nWow! Stanno venendo proprio carine!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nDevo ringraziare te per questo. Grazie, grazie\ndavvero!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06アンナ\nScusami se all'inizio mi lamentavo. Se questo\nprogetto mi viene bene, prometto che non mi\nlamenterò più.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nÈ un pensiero maturo, il tuo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nMa sappi che non c'è nulla di male nel\nlamentarsi un po'. Lo fanno anche gli adulti.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nSe qualcosa ti preoccupa, parlamene pure\napertamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nGrazie! Sono così felice di sentirtelo dire!\nSono in debito con te, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOh, dimenticavo. Pensavo di chiamare queste\ncollane "Collanine del Drago Divino".\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nCos-?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nSei gentile, ma non è il caso, davvero. Scegli\nun nome che aiuti a venderle meglio...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nChe carin\x0E\x0A\x00\x08\x02o\x02a quando sei in imbarazzo!\nMa ormai ho deciso. Quello sarà il loro nome!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nMa sei sicura che non vuoi pensarci meglio?\nNon vorresti un nome più efficace?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nLalalala! Non ti sento!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nOra non mi resta che finire il lavoro! Sono\nsicura che andranno a ruba!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nEh... vabbè. Mi sa che mi tocca dartela vinta,\nvisto che sei così contenta.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nTerrò le dita incrociate per te, signorina Anna!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nFelice giorno degli innamorati, signorina Anna.\nSei riuscita a vendere qualche collana?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06アンナ\nHo fatto il tutto esaurito.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nAh, però!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06アンナ\nNon ho fatto in tempo ad appoggiarle sugli\nscaffali che erano praticamente sparite!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nCongratulazioni!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06アンナ\nÈ solo grazie a te, Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nPeccato, però. Avrei voluto vederne almeno\nuna.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06アンナ\nBeh... a dire il vero una collana ce l'ho. L'ho\nconservata apposta!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nWow! È venuta proprio bene. Non mi stupisco\nche siano andate a ruba.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06アンナ\nSe vuoi puoi tenerla.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nEh? Sicura?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06アンナ\nQuella non era da vendere. L'ho tenuta per\nte, perché è quella che mi è venuta meglio\ntra tutte.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06アンナ\nSpero che ti piaccia.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nÈ la più bella di tutte? E vuoi darla davvero a\nme?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06アンナ\nSe non volessi, non te la darei!\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06アンナ\nApprezzo molto... quello che fai per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nSono parole gentili, le tue.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06アンナ\nInsieme abbiamo fatto una squadra perfetta,\ninventandoci questo prodotto. Te ne sono grata.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06アンナ\nQuindi è giusto che tu abbia la più bella,\ncome simbolo della nostra amicizia.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
