MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nPer essere un umano, la tua saggezza è fuori\ndall'ordinario, Leif. Non mi stupisco che ti\nchiamino il Saggio Lord.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06リーフ\nSe è questa l'impressione che do, lo devo\nall'educazione ricevuta. Da giovane ero\nvergognosamente ignorante.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nHo saputo che non eri in grado di usare l'arma\nsacra di famiglia. Immagino non sia stato facile\nper te.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06リーフ\nPer un certo tempo, mi sentii inadeguato. Poi\ncompresi che ciò che conta davvero è la\nvolontà.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nDevo porgerti le mie scuse. Non era mia\nintenzione sollevare un argomento così delicato.\nMi era solo venuto in mente mio fratello.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06リーフ\nNon devi scusartene. Quando parlo con te,\nprovo una certa nostalgia. Dev'essere perché\nmi ricordi un mio vecchio amico.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06リーフ\nEra un tipo inflessibile, dai modi bruschi, per\nquanto fosse solo guidato dalla gentilezza.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nMi auguro di diventare saggia quanto lui, se\ncontinuerai a concedermi i tuoi consigli.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nGoditi la gloria, finché dura. Non mi lascerò di\nnuovo mettere in ombra da te nella prossima\nbattaglia.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06リーフ\nNon vedo l'ora di vederti all'opera, Rafal. Spero\nanche di guadagnarmi presto la tua fiducia.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nNon ti riposi mai, tu? Anche gli emblemi\nesauriscono le energie, no?\x0E\x04\x00\x00
