MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\nOttimo! Forza, piccolino. Puoi farcela!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nClanne? Che stai combinando?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nGaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! Scusami. Non volevo spaventarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nAvevi un'aria così seria. Non ho potuto fare\na meno di chiedermi cosa facessi.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nOh, non è niente. Non stavo facendo niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh. È qualcosa di... personale?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nRilassati, non ho visto niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nUh?! No! Non farti strane idee!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nStavo... parlando a un fiore.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nE perché mai?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nHo trovato questo fiore appassito, ma mi faceva\npena... allora l'ho raddrizzato, annaffiato...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nE pian piano ha cominciato a riprendersi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nAhah. Oh! Beh, accipicchia.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nLo so, lo so. Non è normale affezionarsi a\nun fiore selvatico...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nTi dirò... penso che tu abbia fatto un ottimo\nlavoro, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nOh? Davvero? Beh, uh... grazie mille.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nNon ti dispiace se d'ora in avanti mi occupo\nanche io del fiore?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nFai pure!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nEheh. Questo fiore deve essere contento di\naver trovato un padrone così premuroso.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nCiao, Clanne. Come sta il nostro fiore?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nSi è ripreso! È più robusto che mai. Presto\npotrò rimuovere il supporto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nMa che bella notizia! Tutto merito delle tue\ncure zelanti, naturalmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nNon ho fatto tutto da solo! Anche tu sei venuta\na trovarlo. Sono sicuro che abbia influito anche\nquesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nOh, l'ho poi solo controllato qualche volta.\nIl grosso del lavoro l'hai fatto tu.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nOra che ci penso... Ho qui qualcosa per\ncelebrare questo momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nEccoti un premio per tutta la costanza che ci\nhai messo, Clanne. Te lo sei meritato!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nOh, caspita. Ma è una...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nUna spilla a forma di fiore! Che te ne pare?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nEcco, sembra... cara. Citrinne? Non credo di\npoterla accettare.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nOh, non mi è costata poi così tanto. E poi\nmeriti un premio per i tuoi sforzi!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nMi spiace, Citrinne. Non ho aiutato questo\nfiorellino per ricevere un premio...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nNon offenderti se non lo accetto! Ma vedi...\nOh, scusami davvero.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nNon preoccuparti, Clanne. Non me la prendo\nse rifiuti.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nAnzi, ti chiedo scusa se ho rovinato tutto.\nCome sempre, ho esagerato.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nVoglio fare dei gesti gentili, ma finisco sempre\nper rivelare la mia posizione privilegiata e nulla\npiù.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nSo di avere questo problema, e ci provo a non\nfare sempre lo stesso errore... ma prima o poi\nci ricasco sempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nCitrinne? Tutto bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nNon preoccuparti per me. Ecco, ora vado.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nSono contenta che il fiore stia bene. Ben fatto,\nClanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nOh, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x04\x03\x04
MID_RELIANCE_A_#002	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh! Clanne! Lieta di vederti.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nCitrinne! Quanto tempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nNon ti ho più chiesto di quel fiore. Come sta?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nOh. Non bene. Sta di nuovo appassendo, e le\nmie cure non sembrano avere effetto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh, no... Ma è terribile.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nPenso che sia normale. È la natura che fa\nil suo corso, alla fine.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nNon arrenderti, Clanne. Troveremo\nuna soluzione. Fammi pensare...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nForse potrei importare del fertilizzante! Magari\nha solo bisogno di nutrienti...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nCapito. Non è qualcosa che si può risolvere\ncon i soldi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nMa devo fare qualcosa! Tutto il tuo lavoro, per\nniente... Sarai triste.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nSai cosa? Più che altro sono grato.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nGrato di cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nCi siamo occupati insieme di quel fiore e così\nsiamo diventati buoni amici. Sono grato di\nquesto!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh, Clanne... Sei così dolce.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nQuesta volta ho io qualcosa da darti.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nSono i semi di quel fiore. Li ho raccolti prima\nche appassisse.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nCosì è come se continuasse a vivere! Grandioso!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nQuesto regalo vale più di qualsiasi gioiello\nprezioso. Grazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nMi aiuteresti a seminarli?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nCerto! Possiamo piantarli in tutto il Somniel.\nQuesto posto pullulerà di fiori selvatici!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nSì, dai! E ancora una cosa... Spero tu voglia\naccettare questo regalo in cambio.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nLa spilla? Ma credevo...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nNon è un premio per il duro lavoro, questa volta.\nCi tenevo solo a dartela.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nEheh, se le cose stanno così, accetto. Grazie,\nCitrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nGrazie a te di averla accettata, Clanne.\x0E\x04\x00\x00
