MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLord Rafal, che coincidenza incontrarci qui.\nIl Somniel è così vasto.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nEhi, cos'è questo silenzio?\nAbbiamo combattuto insieme per tanto tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nAh, sì... ora ricordo. Sei uno di quei quattro...\ncome si chiamavano? I Quattro Venti...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nArgh! Quanta freddezza... Sei completamente\ndiverso rispetto a quando eri lord Nil.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nSe ci tieni alla tua vita, Gregory, ti consiglio\ndi non pronunciare mai più quel nome.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nグレゴリー\nAllora avevo ragione. Prima, quando ci trattavi\ncon gentilezza, stavi solo recitando, vero?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nCerto che stavo recitando. La tua debole mente\nsi lascia così facilmente ingannare da parole\nvuote?\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Oh, Gregory, quanto mi sei mancato.\nVederti mi riempie di gioia.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nNon c'è bisogno di essere così cattivi.\nLe parole fanno male come i coltelli, lo sai?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nAllora parla chiaro e dimmi cosa vuoi da me.\nVendetta?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nCosa? Certo che no, non credo nella vendetta.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Non voglio niente di particolare da te, a dire\nil vero.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nAllora lasciami solo, non mi servi a niente.\x0E\x04\x00\x00
