MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nGuarda. Sta nevicando...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ミカヤ\nMi sembra di essere già stata qui. O forse era\nun posto simile.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nDove ci troviamo, Micaiah?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ミカヤ\nSembra il castello di Nox. Mi scontrai con Ike lì.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nMh? Il castello di Nox? E combattesti contro Ike,\nhai detto?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06ミカヤ\nAnche quel giorno nevicava.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06ミカヤ\nIke era un comandante valoroso, ma io non ero\nda meno. Peccato che avessimo delle\ndivergenze sulla definizione di vittoria.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ミカヤ\nIke stava cercando di salvarci, ma io non glielo\npermisi. Sapevo che avevamo bisogno di aiuto,\nma non volevo il suo.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ミカヤ\nIl mio esercito era vittima di un patto di sangue\nmaledetto da cui non c'era via di scampo.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nE cosa successe?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06ミカヤ\nCombattei contro Ike. Lo feci per sciogliere\nquel patto, aggrappandomi alle ultime speranze\nche avevo.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ミカヤ\nCercai di concentrarmi sempre sul futuro che\ndesideravo. Furono queste speranze a darmi la\nforza anche nei momenti duri.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06ミカヤ\nEro pronta a sacrificare tutto quello che avevo\nper proteggere le persone a cui tenevo.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ミカヤ\nSolo così riuscii a superare la guerra.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nForse so perché siamo finit\x0E\x0A\x00\x08\x02i\x02e qui.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nInsegnami come hai fatto a non crollare anche\nquando la situazione sembrava disperata,\nMicaiah.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06ミカヤ\nBene, allora ti è chiaro lo scopo di questa sfida?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06ミカヤ\nAllora affrontami, \x0E\x06\x03\x00.\nSo già che farai del tuo meglio.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06ミカヤ\nSe vincerai, il nostro legame diventerà più forte\nche mai e potrai attingere a tutto il mio potere.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x14\x06ミカヤ\nRelax\n\x0E\x03\x02\x08\x06ミカヤ\nNon sarà facile, \x0E\x06\x03\x00. Difenditi!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x14\x06ミカヤ\nAngry\n\x0E\x03\x02\x08\x06ミカヤ\nMettiamo fine alla battaglia.\nTutti all'attacco!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x10\x06ミカヤ\x06Die\n\x0E\x03\x02\x08\x06ミカヤ\nRicordo ancora quella battaglia, come se fosse\nieri.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x05\x01\x16\x06ミカヤ\x0CStatus\n\x0E\x03\x02\x08\x06ミカヤ\nIl passato e il futuro sembrano confondersi\nnel mio cuore. È come se fossi di nuovo lì!\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nSei forte, ma non mi sconfiggerai!\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x14\x06ミカヤ\nAngry\n\x0E\x03\x02\x08\x06ミカヤ\nNon deludermi! Voglio vederti combattere con\ntutte le tue forze.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ユナカ\x02t\n\x0E\x05\x01\x10\x06ユナカ\x06Sad\n\x0E\x03\x02\x08\x06ユナカ\nDi solito non me la cavo molto bene contro gli\nattacchi magici... Potreste andarci leggera con\nme?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x14\x06ミカヤ\nSmile\n\x0E\x03\x02\x08\x06ミカヤ\nMi spiace, ma è una cosa seria.\nNon ci andrò piano.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x14\x06ミカヤ\nRelax\n\x0E\x03\x02\x08\x06ミカヤ\nMi hai portata via dal santuario, ora tocca a me\nportarti verso nuovi orizzonti.\x0E\x04\x00\x00
