MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, volevo ringraziare te e le sentinelle\nper il vostro duro lavoro di oggi.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nAhahah! Duro lavoro? È stato un gioco da\nragazzi!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nAnche se non abbiamo risolto dispute.\nA parte qualche aberrazione non c'era\nniente da fare.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nMagari fosse sempre così facile.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nVedo che niente ti sconvolge. Deve essere\nper questo che la tua gente ti ama tanto.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nIn quanto a me, come tu\x0E\x0A\x00\x08\x02o\x02a alleat\x0E\x0A\x00\x08\x02o\x02a, la cosa\nmi rincuora non poco.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nAndiamo, mi farai arrossire così!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nGrazie per i complimenti. Dovrò chiederti\ndi venire a mangiare qualcosa con me uno di\nquesti giorni. Ti va?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nMangiare insieme?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nSì! Solo io, tu e una manciata di domande\nscomode, come... "qual è il tuo migliore amico"?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nUhm... ma è un argomento personale.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nE allora che dici del tuo desiderio più\noscuro e profondo... qualcosa che ti\nvergogneresti a dire ad alta voce.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nPer carità! Ancora peggio!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nApprezzo la tua personalità così aperta e\nsolare, ma a volte hai una leggerezza eccessiva.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nMi preferiresti noioso e serioso? No, non\nsarei me stesso se non fossi una canaglia.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nHai ragione... faccio fatica a immaginarti\nsenza la tua personalità spensierata.\x0E\x04\x00\x00
