MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Céline? Cosa vi turba a quest'ora\ndella notte?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSiete voi, principe Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nNon è nulla. Non riuscivo a prendere sonno\ned eccomi qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nAvete fatto un brutto sogno?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nHo sognato la morte di mio fratello.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nÈ un sogno ricorrente che faccio da quando\nero piccola.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nMio fratello all'epoca era sempre malato.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nAncora adesso non riesco a scrollarmi di\ndosso la paura di perderlo all'improvviso.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Céline...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAlfred si è ripreso, non temete! È il ritratto\ndella salute ora.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nConcordo. Anche sul campo di battaglia è più\ncoraggioso e affidabile che mai.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nTuttavia, capisco come ci si senta ad avere\nquei sogni ricorrenti. Capita spesso anche\na me...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nSogno di perdere mio fratello Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nOh! Anche voi?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nSì, ma non ho mai condiviso con nessuno\nil contenuto di quegli incubi.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セリーヌ\nCapisco. Se volete potete raccontarli a me.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nMa adesso si è fatto tardi, mi sa. Facciamo\nun'altra volta, principe Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nVa bene, un'altra volta. Contate su di me,\nse avete bisogno di qualcuno con cui parlare.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Céline? Un altro di quei brutti\nsogni?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nEheh, si vede così tanto?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nSe non ricordo male, mi avete detto che anche\nvoi fate degli incubi dove perdete vostro\nfratello.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nSono curiosa... quando è cominciato per voi?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nÈ iniziato da poco, grossomodo da quando si\nè risvegliato il Drago Maligno ed è cominciata\nla guerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nMio padre mi ha detto: "Se accadesse qualcosa\na me e a tuo fratello, sarai tu a dover proteggere\nil regno".\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nIn quel momento mi sembrava impossibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nIl mio onnipotente padre, e il mio valoroso\nfratello che muoiono in battaglia? Ridicolo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nTuttavia... In guerra non vi sono certezze.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nCapisco perfettamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nOra sono perseguitato dalla paura che\nquesti sogni possano diventare realtà.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nDiamant potrebbe essere colto di sorpresa...\nO potremmo finire lontani l'uno dall'altro e non\ntrovarci mai più...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nHo perso il conto di tutti gli orribili modi in\ncui i miei sogni me l'hanno portato via...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nAnche per me è così. Sogno sempre ogni\npossibile disastro immaginabile.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nQuando succede... vado a controllare mio\nfratello mentre dorme.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nVederlo russare rumorosamente mi calma,\nin un certo senso.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nBuon per voi che avete almeno questa\nconsolazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nMio fratello invece è troppo mattiniero.\nSe facessi anche io come voi, mi troverei\ninvischiata nei suoi allenamenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nEheh, beh, e che male ci sarebbe? Vederlo\ncorrere avanti e indietro dovrebbe esservi di\nsollievo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nEheh, in un certo senso sì.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nBene. Parlare con voi mi ha calmato i nervi.\nMi dispiace avervi angosciato con le mie paure.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nNon preoccupatevi. Doveste avere altri\nincubi, venite pure a parlarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nMagari non potrò scacciarli... ma almeno\nsapete di non essere sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セリーヌ\nGrazie, principe Alcryst. Le vostre parole mi\nsono di conforto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nQuesto tè ha un'ottima fragranza. Per non\nparlare del gusto.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nSono contento che vi piaccia. Viene dagli\naltopiani della Brodia. Pare che aiuti a conciliare\nil sonno...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nNon mi dite...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nMa... allora lo avete preparato apposta per me?\nChe gentile.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nCome vanno i vostri sogni, ultimamente?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nNon va meglio, temo. La guerra è sempre più\nintensa e così i miei incubi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nMi rammarica sentirvelo dire...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nSapete... Né voi né io regneremo sui nostri\npaesi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nChiedo scusa?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nNon fraintendetemi. Volevo dire che, nel\npeggiore dei casi, saremmo pronti a farci carico\ndelle nostre responsabilità, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nCiò non accadrà. Combatteremo per proteggere\ni nostri fratelli. I nostri futuri sovrani.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nLa paura pervade i nostri sogni, ma non\npermetteremo che controlli le nostre vite.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nE vi dirò di più. Farò tutto il possibile per\nproteggere anche il principe Alfred!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nOh!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nÈ il principe ereditario di un regno alleato,\nquindi lo considero un fratello.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nAnche se potrebbe essere infastidito dalla\nprotezione di un debole come me.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nNon dite così! Alfred ne sarebbe contento. Io\nlo sono, mi viene quasi da piangere.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nMi solleva sapere che qualcuno così abile\nsi preoccupi di proteggerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nV-Vi ringrazio per la vostra stima nei miei\nconfronti.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nIn cambio prometto che proteggerò vostro\nfratello, il principe ereditario Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nSe collaboriamo per proteggere i nostri principi,\nle nostre nazioni ne trarranno giovamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nSono disposta persino a rischiare la mia vita,\nse ce ne fosse bisogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Céline! Ma-\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nNon è così che dovrebbe essere. Lo so.\nEppure...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nImmagino che anche voi fareste lo stesso, dico\nbene?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nAvete ragione... ma forse è meglio se teniamo\nper noi questo accordo.\x0E\x04\x00\x00
